source,destination,pixels,fraction
20,20,102532.0,0.01768252849189065
20,21,52854.0,0.009115128554113726
20,56,9976.0,0.0017204473163022387
20,94,2660.0,0.0004587399620453042
20,99,23503.0,0.004053295236071723
20,105,4340.0,0.0007484704643897068
20,subducted,15190.0,0.002619646625363974
21,20,74580.0,0.012861964800503303
21,21,369208.0,0.06367310673188822
21,56,4098.0,0.000706735475361525
21,94,55562.0,0.009582146530511726
21,99,73249.0,0.012632422360848303
21,105,3750.0,0.0006467198713044702
21,subducted,16116.0,0.0027793433189180912
56,20,7502.0,0.001293784659873636
56,21,3183.0,0.0005489358267632343
56,56,1041.0,0.00017952943627412094
56,94,2024.0,0.000349056271872066
56,99,4774.0,0.0008233175108286775
56,105,775.0,0.00013365544006959052
56,subducted,1226.0,0.0002114342832584748
94,20,5505.0,0.0009493847710749623
94,21,94028.0,0.01621594028240446
94,94,147126.0,0.02537314874281106
94,99,19340.0,0.0033353499496075875
94,105,33.0,5.691134867479338e-06
94,subducted,3826.0,0.0006598267273629075
98,99,125.0,2.155732904348234e-05
98,105,478.0,8.243522626227647e-05
98,subducted,29.0,5.001300338087903e-06
99,20,17141.0,0.0029561134170746463
99,21,34019.0,0.005866870213841806
99,56,1167.0,0.00020125922394995113
99,94,45112.0,0.0077799538224766025
99,99,2711105.0,0.4675534604514415
99,105,16901.0,0.00291472334531116
99,subducted,610998.0,0.10537187944727698
106,99,2045.0,0.0003526779031513711
106,105,32.0,5.518676235131479e-06
106,subducted,63.0,1.08648938379151e-05
105,20,57159.0,0.009857562966371256
105,21,37230.0,0.00642063488231078
105,56,4492.0,0.0007746841765065814
105,94,2717.0,0.00046857010408913214
105,99,50086.0,0.008637763059774851
105,105,353937.0,0.06103949095730407
105,subducted,52868.0,0.009117542974966595
new_crust,20,9574.0,0.0016511189460983993
new_crust,21,18845.0,0.0032499829265953974
new_crust,56,1279.0,0.0002205745907729113
new_crust,94,5018.0,0.000865397417121555
new_crust,99,616198.0,0.10626866433548585
new_crust,105,51873.0,0.008945946635780475
