source,destination,pixels,fraction
20,20,206919.0,0.034983812384958374
20,21,72277.0,0.012219878347312894
20,56,8831.0,0.0014930578978806558
20,94,2615.0,0.00044211826553707564
20,98,1591.0,0.0002689905011355592
20,99,20413.0,0.0034512275925079636
20,106,367.0,6.20487202493716e-05
20,105,32542.0,0.005501878622220847
20,subducted,13294.0,0.0022476176757360933
21,20,154795.0,0.026171203408723375
21,21,314998.0,0.053256737823192256
21,56,12830.0,0.002169169157491656
21,94,76050.0,0.012857779768296215
21,98,5334.0,0.0009018198196461802
21,99,73818.0,0.012480415344327285
21,106,1387.0,0.0002345002043211946
21,105,58861.0,0.00995163412152115
21,subducted,37991.0,0.0064231415013457135
56,20,12762.0,0.002157672391886868
56,21,2122.0,0.00035876671490236116
56,56,8184.0,0.0013836695545527446
56,99,2206.0,0.0003729686018259231
56,105,3667.0,0.000619979992246446
56,subducted,2486.0,0.0004203082249044627
94,20,6871.0,0.0011616805363308784
94,21,37755.0,0.006383240961893802
94,56,24.0,4.057681978160541e-06
94,94,64723.0,0.010942722944686862
94,98,1654.0,0.00027964191632823065
94,99,18809.0,0.003180039180300901
94,106,1072.0,0.0001812431283578375
94,105,1415.0,0.00023923416662904857
94,subducted,8177.0,0.001382486063975781
98,98,396.0,6.695175263964893e-05
98,99,327.0,5.528591695243737e-05
98,106,472.0,7.980107890382398e-05
98,105,73.0,1.2342116016904979e-05
98,subducted,373.0,6.306314074391174e-05
99,20,9290.0,0.0015706610657129762
99,21,28859.0,0.004879193508655628
99,56,490.0,8.284434038744438e-05
99,94,14631.0,0.00247366437593612
99,98,3272.0,0.0005531973096892204
99,99,2579679.0,0.43614654115580026
99,106,69185.0,0.011697113652459876
99,105,23988.0,0.004055653137171461
99,subducted,676347.0,0.11435004303678949
106,98,189.0,3.195424557801426e-05
106,99,2001.0,0.00033830923492913514
106,106,2461.0,0.0004160814728438788
106,105,201.0,3.398308656709453e-05
106,subducted,1568.0,0.00026510188923982203
105,20,15310.0,0.0025884629619015785
105,21,16449.0,0.002781033785781781
105,56,4220.0,0.0007134757478265618
105,94,1133.0,0.0001915564033856622
105,98,3536.0,0.0005978318114489864
105,99,32268.0,0.005455553419636848
105,106,2070.0,0.0003499750706163467
105,105,263127.0,0.04448690357781036
105,subducted,76295.0,0.012899201938489938
new_crust,20,21313.0,0.003603390666688984
new_crust,21,23924.0,0.004044832651896366
new_crust,56,3091.0,0.0005225956247705931
new_crust,94,5208.0,0.0008805169892608374
new_crust,98,3627.0,0.0006132171889495117
new_crust,99,674253.0,0.11399601028419497
new_crust,106,21699.0,0.0036686517185043994
new_crust,105,66542.0,0.011250261424614947
