source,destination,pixels,fraction
20,20,147237.0,0.02719347431970603
20,21,93248.0,0.017222145882923097
20,56,4215.0,0.0007784761592368829
20,94,1094.0,0.00020205288688141158
20,99,8461.0,0.001562677765908248
20,106,1.0,1.846918527252391e-07
20,105,11534.0,0.0021302358293329078
20,subducted,6152.0,0.001136224277965671
21,20,82075.0,0.015158583812424
21,21,404476.0,0.07470342182289381
21,56,1742.0,0.0003217332074473665
21,94,64631.0,0.01193681913348493
21,98,937.0,0.00017305626600354904
21,99,21284.0,0.003930981393403989
21,106,41.0,7.572365961734803e-06
21,105,11514.0,0.002126541992278403
21,subducted,19966.0,0.003687557531512124
56,20,1649.0,0.0003045568651439193
56,21,333.0,6.150238695750462e-05
56,56,1369.0,0.0002528431463808523
56,99,10.0,1.846918527252391e-06
56,105,556.0,0.00010268867011523295
56,subducted,132.0,2.437932455973156e-05
94,20,12412.0,0.0022923952760256676
94,21,44206.0,0.00816448804157192
94,56,41.0,7.572365961734803e-06
94,94,37801.0,0.006981536724866763
94,98,1738.0,0.00032099444003646555
94,99,12469.0,0.0023029227116310065
94,106,58.0,1.0712127458063869e-05
94,105,5102.0,0.0009422978326041699
94,subducted,2710.0,0.000500514920885398
98,21,343.0,6.334930548475702e-05
98,94,554.0,0.00010231928640978247
98,98,52682.0,0.009729936185271047
98,99,1263.0,0.000233265809991977
98,106,5582.0,0.0010309499219122848
98,105,9464.0,0.0017479236941916629
98,subducted,2659.0,0.0004910956363964108
99,20,12887.0,0.0023801239060701565
99,21,43789.0,0.008087471538985496
99,56,306.0,5.651570693392317e-05
99,94,14128.0,0.002609326495302178
99,98,487.0,8.994493227719144e-05
99,99,3059626.0,0.5650879945863124
99,106,7111.0,0.0013133437647291752
99,105,8867.0,0.0016376626581146951
99,subducted,259196.0,0.04787138945897108
106,20,16.0,2.9550696436038256e-06
106,21,16.0,2.9550696436038256e-06
106,94,522.0,9.640914712257482e-05
106,98,3047.0,0.0005627560752538035
106,99,22070.0,0.004076149189646027
106,106,110512.0,0.020410666028371622
106,105,804.0,0.00014849224959109225
106,subducted,6131.0,0.001132345749058441
105,20,4984.0,0.0009205041939825916
105,21,21063.0,0.0038901644939517113
105,56,251.0,4.635765503403501e-05
105,94,5538.0,0.001022823480392374
105,98,15784.0,0.002915176203415174
105,99,10784.0,0.0019917169397889786
105,106,804.0,0.00014849224959109225
105,105,397077.0,0.07333688680457977
105,subducted,19302.0,0.003564922141302565
new_crust,20,3208.0,0.0005924914635425671
new_crust,21,12590.0,0.0023252704258107603
new_crust,56,49.0,9.049900783536716e-06
new_crust,94,2815.0,0.000519907565421548
new_crust,98,2463.0,0.0004548960332622639
new_crust,99,266525.0,0.04922499604759435
new_crust,106,9948.0,0.0018373145509106787
new_crust,105,19983.0,0.003690697293008453
