source,destination,pixels,fraction
20,20,141844.0,0.023900227116523294
20,21,128583.0,0.021665794135274773
20,56,8195.0,0.0013808293704344803
20,94,4882.0,0.000822600242399162
20,99,19351.0,0.003260577077154073
20,105,2450.0,0.0004128165903068306
20,subducted,15117.0,0.002547162610476881
21,20,72286.0,0.012179942876293695
21,21,366411.0,0.06173899578404739
21,56,6590.0,0.0011103923796416382
21,94,42020.0,0.007080225765180825
21,99,40777.0,0.00687078453181291
21,105,2206.0,0.00037170342784361967
21,subducted,17531.0,0.002953913324354713
56,20,28927.0,0.004874100207267628
56,21,6219.0,0.0010478801531094608
56,56,13517.0,0.0022775681025213996
56,94,264.0,4.4483093812654396e-05
56,99,3689.0,0.0006215838374048563
56,105,5225.0,0.0008803945650421183
56,subducted,4024.0,0.0006780301875080352
94,20,3242.0,0.0005462658717447937
94,21,54152.0,0.00912442612175326
94,56,441.0,7.43069862552295e-05
94,94,151360.0,0.02550364045258852
94,99,38977.0,0.006567490710362994
94,105,1212.0,0.000204217839776277
94,subducted,7472.0,0.0012590063521520972
98,20,1290.0,0.0002173605720391067
98,56,1453.0,0.0002448255125370713
98,99,519.0,8.744971851805921e-05
98,105,3162.0,0.0005327861463470197
98,subducted,1253.0,0.0002111261990426362
99,20,10966.0,0.0018477333588998793
99,21,58738.0,0.00989715138018066
99,56,3099.0,0.0005221708625962726
99,94,30956.0,0.005215979742668672
99,99,2780563.0,0.4685153211401354
99,105,6549.0,0.001103484020375279
99,subducted,761138.0,0.1282491403726369
106,20,2.0,3.3699313494435146e-07
106,56,148.0,2.493749198588201e-05
106,99,8107.0,0.0013660016724969287
106,105,687.0,0.00011575714185338473
106,subducted,2536.0,0.0004273072951094377
105,20,42806.0,0.007212664067213955
105,21,6579.0,0.0011085389173994442
105,56,17361.0,0.002925268907884443
105,94,1562.0,0.0002631916383915385
105,99,8527.0,0.0014367702308352426
105,105,134213.0,0.02261442981014312
105,subducted,27592.0,0.004649157289692273
new_crust,20,13175.0,0.0022199422764459156
new_crust,21,24125.0,0.00406497969026624
new_crust,56,3601.0,0.0006067561394673049
new_crust,94,8947.0,0.0015075387891735563
new_crust,99,766335.0,0.1291248170337898
new_crust,105,21886.0,0.003687715875696038
