source,destination,pixels,fraction
94,94,624205.0,0.09882411016662701
94,98,16049.0,0.0025408770260798887
94,99,96728.0,0.015313973018795904
94,106,3385.0,0.0005359130620774143
94,105,130816.0,0.020710783789872685
94,subducted,52912.0,0.00837702568408867
98,94,38.0,6.016158451681461e-06
98,98,39866.0,0.006311583495650872
98,99,100.0,1.583199592547753e-05
98,106,11278.0,0.0017855325004753557
98,105,11903.0,0.0018844824750095903
98,subducted,10536.0,0.0016680590907083123
99,94,114777.0,0.018171489963385343
99,98,8595.0,0.0013607600497947936
99,99,1831964.0,0.2900364658362152
99,106,210638.0,0.033348199577507356
99,105,13718.0,0.002171833201057007
99,subducted,942845.0,0.14927118198356862
106,94,933.0,0.00014771252198470534
106,98,15397.0,0.002437652412645775
106,99,11286.0,0.0017867990601493939
106,106,345701.0,0.054731368234335075
106,105,4987.0,0.0007895416368035644
106,subducted,150934.0,0.023895864730160254
105,94,26293.0,0.004162706688685807
105,98,41772.0,0.006613341337990473
105,99,11638.0,0.0018425276858070748
105,106,10640.0,0.001684524366470809
105,105,294362.0,0.04660337984615416
105,subducted,60920.0,0.009644851917800911
new_crust,94,33302.0,0.005272371283102526
new_crust,98,12034.0,0.0019052223896719657
new_crust,99,824257.0,0.13049633465546331
new_crust,106,293407.0,0.04645218428506585
new_crust,105,58107.0,0.009199497872417228
