source,destination,pixels,fraction
20,20,175918.0,0.03185192669048708
20,21,57631.0,0.010434738839115162
20,56,8655.0,0.0015670848094348827
20,94,683.0,0.00012366480934073077
20,98,588.0,0.0001064639939858707
20,99,16664.0,0.0030172040744567167
20,106,2.0,3.6212242852336973e-07
20,105,22222.0,0.0040235423033231615
20,subducted,4367.0,0.0007906943226807778
21,20,100900.0,0.018269076519004005
21,21,409470.0,0.07413913540373211
21,56,869.0,0.00015734219519340415
21,94,24679.0,0.004468409706764121
21,98,1817.0,0.0003289882263134814
21,99,26998.0,0.004888290662636968
21,106,337.0,6.1017629206187805e-05
21,105,9345.0,0.0016920170472754451
21,subducted,20065.0,0.003632993264160707
56,20,10187.0,0.0018444705896837838
56,21,1002.0,0.00018142333669020824
56,56,467.0,8.455558706020684e-05
56,94,222.0,4.019558956609404e-05
56,98,455.0,8.238285248906661e-05
56,99,2086.0,0.00037769369294987464
56,105,8559.0,0.0015497029328657608
56,subducted,366.0,6.626840441977666e-05
94,20,2566.0,0.0004646030757954834
94,21,43078.0,0.007799754987964861
94,94,24994.0,0.004525443989256552
94,98,12.0,2.1727345711402184e-06
94,99,15156.0,0.002744163763350096
94,106,74.0,1.339852985536468e-05
94,105,2197.0,0.0003977914877329217
94,subducted,2902.0,0.0005254396437874095
98,21,33.0,5.9750200706356005e-06
98,94,9.0,1.6295509283551638e-06
98,98,29133.0,0.005274856355085665
98,99,345.0,6.246611892028128e-05
98,106,3759.0,0.0006806091044096735
98,105,6704.0,0.0012138343804103354
98,subducted,3566.0,0.0006456642900571683
99,20,14961.0,0.0027088568265690675
99,21,40343.0,0.007304552566959153
99,56,541.0,9.795411691557152e-05
99,94,28436.0,0.0051486566887452715
99,98,1579.0,0.0002858956573192004
99,99,3070743.0,0.555992456265569
99,106,11729.0,0.002123666982075302
99,105,22147.0,0.0040099627122535345
99,subducted,360621.0,0.06529447614826306
106,21,637.0,0.00011533599348469327
106,94,362.0,6.554415956272993e-05
106,98,5269.0,0.0009540115379448176
106,99,3392.0,0.0006141596387756351
106,106,61824.0,0.011193928510514406
106,105,1291.0,0.00023375002761183517
106,subducted,9397.0,0.0017014322304170527
105,20,1202.0,0.00021763557954254523
105,21,1010.0,0.0001828718264043017
105,56,613.0,0.00011099052434241282
105,94,868.0,0.00015716113397914246
105,98,8634.0,0.0015632825239353873
105,99,15289.0,0.0027682449048469
105,106,858.0,0.00015535052183652563
105,105,371465.0,0.06725790395571678
105,subducted,23534.0,0.004261094616434492
new_crust,20,3414.0,0.0006181429854893921
new_crust,21,7436.0,0.0013463711892498888
new_crust,56,198.0,3.5850120423813605e-05
new_crust,94,4525.0,0.000819301994534124
new_crust,98,3027.0,0.0005480722955701202
new_crust,99,367363.0,0.06651519085481535
new_crust,106,15403.0,0.0027888858832727324
new_crust,105,25801.0,0.004671560389165732
