source,destination,pixels,fraction
20,20,115815.0,0.019382725099185528
20,21,56603.0,0.00947304225522772
20,56,8358.0,0.0013987895901134797
20,94,9703.0,0.0016238879388455485
20,99,31987.0,0.005353324075013146
20,106,8.0,1.3388749366963195e-06
20,105,3208.0,0.0005368888496152241
20,subducted,10419.0,0.001743717245679869
21,20,84165.0,0.014085801130880714
21,21,354324.0,0.059299440383748334
21,56,7884.0,0.0013194612501142228
21,94,58730.0,0.009829015629021855
21,98,1.0,1.6735936708703993e-07
21,99,77706.0,0.013004826978865524
21,106,17.0,2.8451092404796787e-06
21,105,3611.0,0.0006043346745513012
21,subducted,15403.0,0.002577836331241676
56,20,34242.0,0.005730719447794421
56,21,9041.0,0.001513096037833928
56,56,15764.0,0.0026382530627600976
56,94,430.0,7.196452784742716e-05
56,99,5667.0,0.0009484255332822553
56,105,10042.0,0.0016806227642880548
56,subducted,6039.0,0.0010106832178386341
94,20,2257.0,0.0003777300915154491
94,21,49761.0,0.008327969465618194
94,56,627.0,0.00010493432316357403
94,94,142061.0,0.02377523904775198
94,98,6.0,1.0041562025222396e-06
94,99,36082.0,0.006038660683234574
94,106,46.0,7.698530886003837e-06
94,105,1232.0,0.0002061867402512332
94,subducted,10960.0,0.0018342586632739575
98,20,421.0,7.045829354364381e-05
98,21,2587.0,0.0004329586826541723
98,94,820.0,0.00013723468101137275
98,98,129.0,2.158935835422815e-05
98,99,3988.0,0.0006674291559431152
98,106,1124.0,0.00018811192860583288
98,105,481.0,8.04998555688662e-05
98,subducted,1767.0,0.00029572400164279953
99,20,21377.0,0.0035776411902196524
99,21,42221.0,0.007066079837781913
99,56,7054.0,0.0011805529754319796
99,94,32281.0,0.0054025277289367355
99,98,53.0,8.870046455613116e-06
99,99,2681378.0,0.44875372500111294
99,106,2060.0,0.0003447602961993022
99,105,6505.0,0.0010886726829011947
99,subducted,783491.0,0.131124557878392
106,21,43.0,7.196452784742717e-06
106,94,24.0,4.016624810088959e-06
106,99,6475.0,0.0010836519018885835
106,106,1865.0,0.00031212521961732943
106,105,319.0,5.338763810076574e-05
106,subducted,2988.0,0.0005000697888560753
105,20,47012.0,0.00786789856549592
105,21,19123.0,0.0032004131768054644
105,56,18488.0,0.0030941399787051942
105,94,2439.0,0.0004081894963252904
105,98,5799.0,0.0009705169697377446
105,99,14501.0,0.002426878182129166
105,106,3468.0,0.0005804022850578544
105,105,177030.0,0.02962762875541868
105,subducted,45923.0,0.0076856442147381345
new_crust,20,15133.0,0.002532649302128175
new_crust,21,14118.0,0.0023627795445348297
new_crust,56,3690.0,0.0006175560645511773
new_crust,94,10464.0,0.0017512484171987857
new_crust,98,1689.0,0.00028266997101001045
new_crust,99,794255.0,0.1329260141057169
new_crust,106,2892.0,0.0004840032896157195
new_crust,105,37492.0,0.006274637390827301
