source,destination,pixels,fraction
20,20,125058.0,0.02194817858444094
20,21,107865.0,0.018930738401467494
20,56,783.0,0.0001374196279455713
20,94,6624.0,0.0011625384617004653
20,99,8362.0,0.0014675644047009797
20,105,4982.0,0.000874360902202856
20,subducted,7833.0,0.0013747227914401787
21,20,91031.0,0.015976304152635123
21,21,366611.0,0.06434169504566263
21,56,815.0,0.00014303575577987305
21,94,58516.0,0.010269791761000064
21,98,63.0,1.1056751673781599e-05
21,99,36001.0,0.006318319317584307
21,106,2.0,3.5100798964386026e-07
21,105,5303.0,0.0009306976845406955
21,subducted,37256.0,0.006538576831085829
56,20,2543.0,0.00044630665883216834
56,21,215.0,3.773335888671498e-05
56,56,343.0,6.0197870223922036e-05
56,105,14.0,2.457055927507022e-06
56,subducted,68.0,1.1934271647891248e-05
94,20,5423.0,0.0009517581639193271
94,21,39891.0,0.007001029857441615
94,56,53.0,9.301711725562298e-06
94,94,18039.0,0.003165916562592798
94,98,355.0,6.23039181617852e-05
94,99,11842.0,0.0020783183066812967
94,106,221.0,3.8786382855646563e-05
94,105,2084.0,0.0003657503252089024
94,subducted,2408.0,0.00042261361953120776
98,20,47.0,8.248687756630717e-06
98,21,55.0,9.652719715206157e-06
98,98,39584.0,0.006947150131031282
98,99,1069.0,0.0001876137704646433
98,106,12117.0,0.0021265819052573277
98,105,3586.0,0.0006293573254314414
98,subducted,1768.0,0.0003102910628451725
99,20,29436.0,0.0051661355915783354
99,21,59702.0,0.010477939498858873
99,56,444.0,7.792377370093698e-05
99,94,22447.0,0.003939538171767866
99,98,3671.0,0.0006442751649913055
99,99,2778238.0,0.4875918675660895
99,106,20389.0,0.0035783509504243335
99,105,20465.0,0.0035916892540308
99,subducted,531474.0,0.0932758101439905
106,21,34.0,5.967135823945624e-06
106,94,62.0,1.088124767895967e-05
106,98,4298.0,0.0007543161697446557
106,99,7189.0,0.0012616982187748558
106,106,90208.0,0.015831864364896673
106,105,1506.0,0.0002643090162018268
106,subducted,4535.0,0.0007959106165174531
105,20,15320.0,0.0026887212006719697
105,21,15449.0,0.0027113612160039988
105,56,1540.0,0.0002702761520257724
105,94,7571.0,0.001328740744796833
105,98,22733.0,0.003989732314286938
105,99,16879.0,0.0029623319285993588
105,106,5467.0,0.000959480339691492
105,105,425179.0,0.07462061301439343
105,subducted,14358.0,0.0025198863576532727
new_crust,20,3084.0,0.0005412543200308326
new_crust,21,16844.0,0.002956189288780591
new_crust,56,71.0,1.2460783632357039e-05
new_crust,94,3278.0,0.0005753020950262869
new_crust,98,1843.0,0.00032345386245681725
new_crust,99,547224.0,0.09603999806243589
new_crust,106,15094.0,0.0026490572978422134
new_crust,105,13014.0,0.0022840089886125986
