source,destination,pixels,fraction
20,20,183144.0,0.03295303404556682
20,21,100379.0,0.01806115736502398
20,56,14049.0,0.0025278315167636847
20,94,2720.0,0.000489408621652589
20,99,6822.0,0.0012274800062183685
20,105,26821.0,0.0048258928828470915
20,subducted,6825.0,0.0012280197951393087
21,20,62199.0,0.01119144369785639
21,21,385902.0,0.06943520805624169
21,56,1058.0,0.00019036555945163203
21,94,22338.0,0.004019268305321887
21,98,181.0,3.256726489673478e-05
21,99,25166.0,0.004528109328128329
21,106,58.0,1.0435919138180206e-05
21,105,12859.0,0.002313715244790677
21,subducted,10535.0,0.001895558760702215
56,20,8029.0,0.0014446550820767048
56,21,3494.0,0.0006286741632552007
56,56,2518.0,0.0004530628343092717
56,94,238.0,4.2823254394601535e-05
56,99,848.0,0.00015258033498580714
56,105,3524.0,0.0006340720524646042
56,subducted,249.0,4.480248043804951e-05
94,20,3166.0,0.0005696572412323884
94,21,44463.0,0.008000211597257008
94,56,330.0,5.93767813034391e-05
94,94,42266.0,0.0076049061774883546
94,98,497.0,8.942503123578556e-05
94,99,22042.0,0.003966009131789105
94,106,384.0,6.90929818803655e-05
94,105,7357.0,0.001323742363786065
94,subducted,4964.0,0.0008931707345159748
98,98,23132.0,0.004162132439730768
98,99,298.0,5.361903281340864e-05
98,106,6373.0,0.0011466915977176285
98,105,15807.0,0.002844147824434733
98,subducted,5678.0,0.0010216404976997795
99,20,18832.0,0.0033884349863829246
99,21,49931.0,0.008984066870490963
99,56,2443.0,0.0004395681112857628
99,94,19887.0,0.0035782607569136166
99,98,2348.0,0.0004224747954559849
99,99,3082059.0,0.5545537672948371
99,106,7670.0,0.0013800603412041756
99,105,30314.0,0.005454387116461979
99,subducted,396888.0,0.07141191508472527
106,21,34.0,6.1176077706573625e-06
106,98,6539.0,0.0011765599180096615
106,99,4859.0,0.0008742781222830624
106,106,51912.0,0.009340507487951911
106,105,9832.0,0.0017690682235618584
106,subducted,10896.0,0.0019605133608553713
105,20,6484.0,0.0011666637877924216
105,21,835.0,0.00015024124966173227
105,56,2385.0,0.0004291321921475826
105,94,208.0,3.742536518519798e-05
105,98,8338.0,0.0015002533409335613
105,99,10249.0,0.0018440988835725677
105,106,1648.0,0.0002965240472365686
105,105,290747.0,0.05231400313221518
105,subducted,23517.0,0.004231405351251447
new_crust,20,4896.0,0.0008809355189746601
new_crust,21,9466.0,0.001703213975207135
new_crust,56,562.0,0.00010112045785615992
new_crust,94,3479.0,0.0006259752186504989
new_crust,98,2514.0,0.0004523431157480179
new_crust,99,400304.0,0.07202655473603602
new_crust,106,14608.0,0.0026284121856989043
new_crust,105,26331.0,0.0047377273590935
