source,destination,pixels,fraction
94,20,217512.0,0.034299879523392016
94,21,354008.0,0.055824192459804335
94,56,34337.0,0.0054146666077950255
94,94,86204.0,0.013593672139626712
94,98,127.0,2.0026870698953557e-05
94,99,68072.0,0.010734402694639107
94,106,2.0,3.1538379053470166e-07
94,105,9604.0,0.0015144729621476374
94,subducted,29682.0,0.0046806108353255075
98,20,3913.0,0.0006170483861811438
98,21,24266.0,0.0038265515305575355
98,56,2435.0,0.00038397976497599927
98,94,3631.0,0.0005725792717157508
98,98,12750.0,0.002010571664658723
98,99,19075.0,0.003007972902224717
98,106,1705.0,0.0002688646814308332
98,105,53386.0,0.008418539520742792
98,subducted,12552.0,0.0019793486693957876
99,20,21693.0,0.0034208102840346415
99,21,39156.0,0.00617458385108839
99,56,1767.0,0.0002786415789374089
99,94,11200.0,0.0017661492269943294
99,98,51.0,8.042286658634892e-06
99,99,1889716.0,0.2979928975570372
99,106,417.0,6.57575203264853e-05
99,105,5223.0,0.0008236247689813734
99,subducted,806721.0,0.12721336344197254
106,20,1502.0,0.00023685322669156095
106,21,5846.0,0.000921866819732933
106,56,148.0,2.3338400499567923e-05
106,94,5321.0,0.0008390785747175738
106,98,2506.0,0.0003951758895399812
106,99,471160.0,0.07429811337416502
106,106,43623.0,0.0068789935472476455
106,105,13057.0,0.0020589830765058
106,subducted,327331.0,0.051617445769757214
105,20,35500.0,0.005598062281990955
105,21,38327.0,0.006043857269911756
105,56,9496.0,0.0014974422374587637
105,94,3900.0,0.0006149983915426683
105,98,5977.0,0.0009425244580129559
105,99,11289.0,0.0017801838056731236
105,106,261.0,4.115758466477857e-05
105,105,340674.0,0.05372152872830948
105,subducted,67018.0,0.010568195437027318
new_crust,20,10036.0,0.001582595860903133
new_crust,21,13563.0,0.0021387751755110795
new_crust,56,1782.0,0.0002810069573664192
new_crust,94,5694.0,0.0008978976516522956
new_crust,98,1459.0,0.00023007247519506489
new_crust,99,1132871.0,0.17864457508341902
new_crust,106,8809.0,0.0013891079054100936
new_crust,105,75125.0,0.011846603631959732
