age_from,age_to,mean_distance,median_distance,p95_distance,mean_poleward,median_poleward,mean_delta_alt,median_delta_alt,mean_delta_temp,median_delta_temp,mean_delta_precip,median_delta_precip,subduction_fraction,survivor_fraction,normal_fraction,delta_Land_area,delta_Coastline_length,delta_Continents_Number,delta_Polar_Land_Area,delta_Temperate_Land_Area,delta_Subtropical_Land_Area,delta_Tropical_Land_Area,delta_Northern_Land_Area,delta_Southern_Land_Area,delta_Continental_Shelves_Area,delta_High_Altitude_Area,delta_Ocean_Area,delta_Ocean_Volume,delta_Sea_Level_dSL,delta_BQART_TSS_est,delta_ROBART_TSS_est,delta_CO2_ppm,delta_Ridge_Depth,mean_distance_z,median_distance_z,p95_distance_z,mean_poleward_z,median_poleward_z,mean_delta_alt_z,median_delta_alt_z,mean_delta_temp_z,median_delta_temp_z,mean_delta_precip_z,median_delta_precip_z,subduction_fraction_z,survivor_fraction_z,normal_fraction_z,delta_Land_area_z,delta_Coastline_length_z,delta_Continents_Number_z,delta_Polar_Land_Area_z,delta_Temperate_Land_Area_z,delta_Subtropical_Land_Area_z,delta_Tropical_Land_Area_z,delta_Northern_Land_Area_z,delta_Southern_Land_Area_z,delta_Continental_Shelves_Area_z,delta_High_Altitude_Area_z,delta_Ocean_Area_z,delta_Ocean_Volume_z,delta_Sea_Level_dSL_z,delta_BQART_TSS_est_z,delta_ROBART_TSS_est_z,delta_CO2_ppm_z,delta_Ridge_Depth_z
100.0,94.0,636.0029907226562,663.0150146484375,1532.3880615234375,0.14586085081100464,0.06566747277975082,199.91566467285156,-45.472900390625,0.23331639170646667,0.32517242431640625,-8.713631629943848,-4.089019775390625,0.138500710842466,0.11988699487816819,0.7412658958811936,-6449967989532.578,11877120.522902966,0.0,-4286516025592.129,-3442568819844.453,1955914129406.9219,-652504550096.5469,-2501550690526.4062,-3948417299006.172,1077577224680.668,393582107205.46875,6449967989532.625,-2317900000000000.0,28.929090909090917,-1826.1083796668681,-379.29700590668836,206.2130000000002,-2.461479893160231,-0.6284547412586067,-0.2949712211078871,-0.5518690879060033,0.23989141399057823,0.024446166504406994,-0.046377711899151006,-0.613000683215981,0.10871456279776848,0.14488331866246318,-0.2658932498358291,-0.1903284188992117,-0.5953712067402592,-0.5716475814058417,0.5880267827371009,-0.6271289816784187,0.0814642683029999,-0.023008272961461865,-1.5114512455453255,-0.6926278683211404,0.5168945013136435,-0.1363231874275317,-0.6625982151398431,-0.38399728447332837,0.13823915613789345,0.25169389970529804,0.6271289816784223,-1.4587198949790097,0.6462537778498659,-0.48502207135119985,-0.10758676092426057,0.5957728788113984,-0.0997940181605125
113.0,100.0,873.639892578125,745.9647216796875,2238.149658203125,1.0665189027786255,1.0373482704162598,183.08111572265625,37.06690979003906,1.2169126272201538,1.4569482803344727,68.40962219238281,50.9627685546875,0.1595472576858861,0.13366741360047202,0.7057830094527925,40840466728557.14,-114744223.95894313,0.0,10572533124645.426,14519850753044.719,8281919250528.336,7569532637384.773,22018304681203.406,18822162047353.75,-35217750945558.81,-2371289708639.5156,-40840466728557.19,3486100000000000.0,-50.970303030303086,2528.0113090133636,1664.156282623082,515.624,-13.408867446768,-0.11939327737842954,-0.1051614000743012,0.24464342460719,1.3598444412774573,1.1848020115048867,-0.19561295712643312,0.9278219006274327,0.4649579190745071,0.6827635884416298,0.8831591503401565,0.8199817793776908,-0.3016565399391903,-0.3067602183743686,0.3006059060310371,3.7398073923601896,-1.3516033450661529,-0.023008272961461865,3.105178690788344,2.988118847650766,2.087832128808592,1.7286783100359588,3.081239574023925,3.1824544934961745,-4.219847356740036,-1.1525487287722238,-3.7398073923601904,2.0217233695254944,-0.864565994551549,0.6910061883672345,0.415606306171172,1.1881212825429137,-0.46394667368607145
11.0,6.0,294.6487121582031,319.3608703613281,438.1049499511719,-0.1372496336698532,-0.1858229786157608,50.098506927490234,26.857666015625,-0.2122589498758316,-0.193267822265625,6.631930828094482,-3.290283203125,0.051825397946245876,0.049958063432882664,0.8976765415709461,2258223576241.9062,-2920295.2165836096,-1.0,1055983692763.8789,280316034697.51953,-646206436620.8203,1524843251512.5938,1106468570624.9062,1151755005617.0312,-1718485248377.461,2307408843385.6973,-2258223576241.9375,-15500000000000.0,-26.86272727272727,2534.3614220957825,2529.192001380441,-8.488,7.990069984127786,-1.3596976896011572,-1.0813384544485949,-1.7868614630929516,-0.10450403606099314,-0.2758771659607426,-1.374479839347241,0.73723952180746,-0.05266594012427974,-0.10150714656360296,-0.037261099342266166,-0.17567000853371592,-1.804966815777222,-1.9158222849052422,1.854994874552958,0.17701077147403327,-0.08600905418140524,-0.9893557373428601,0.14843586332948616,0.07024242021053156,-0.12929041794971502,0.35756376758195174,-0.11170431103048627,0.41481939502771364,-0.19749226626016278,1.2237017414659292,-0.17701077147403624,-0.07805611617212319,-0.40871520115456955,0.6927213255180912,0.6370846699704192,0.184740967762469,0.24786514924678252
120.0,113.0,608.2615356445312,382.6251220703125,1956.37890625,0.9130352735519409,0.05357241630554199,112.86933898925781,-62.41748046875,-0.1307503581047058,0.27014732360839844,33.181983947753906,10.05810546875,0.14140704440176252,0.11807595500822254,0.7399134513990886,-40587342548865.95,109826508.3067106,0.0,-4094973399885.824,-16733787594846.188,-9582129788073.258,-10294716341327.156,-22901740058743.36,-17685602490122.61,35768785889657.5,1660302676268.3438,40587342548866.0,-2347600000000000.0,28.240303030303068,1196.2654906667012,1857.9204102216027,104.28999999999996,-15.179716290767828,-0.6878819835007463,-0.9365739130840044,-0.07335904343128494,1.173136189691506,0.010002565777093627,-0.8180277155883955,-0.9293158237641772,-0.02314478779618875,0.11873245508283173,0.3583057465823917,0.06929956674874525,-0.5548119264301775,-0.6064594100709843,0.5770716204639502,-3.779473500522693,1.1900300946786286,-0.023008272961461865,-1.4519399396078563,-3.416181321620359,-2.348349359640694,-2.3234623379151147,-3.777420823387532,-2.535589819908116,4.303714334903082,0.8950448902479725,3.779473500522694,-1.476529882049269,0.6332294694670957,0.3313075973502645,0.4652164679401641,0.40064753952634574,-0.5228519883941808
133.0,120.0,575.6556396484375,362.1429748535156,1760.51806640625,0.97409987449646,0.9592589139938354,131.0548553466797,-17.15142822265625,-0.7370454668998718,0.0233612060546875,45.149051666259766,7.93115234375,0.1589497891010432,0.13078265638534253,0.7093601711670998,-8086777702835.891,-25731093.927434683,1.0,-1354594247557.5703,-2460762908016.9297,-2831451872588.4062,-1471559212106.8281,142857208838.35938,-8229634911674.266,4964612909812.27,497650934637.75195,8086777702835.875,82500000000000.0,-0.6887878787878776,-71.50877397878867,-434.3176075110987,80.38200000000006,15.82784696767203,-0.7577297429072019,-0.9834422244589818,-0.2944048050324127,1.2474194532134164,1.0915497404118624,-0.6568163875502233,-0.08430593787330573,-0.24273550668355767,0.001446525380666189,0.5366020087797337,0.03026573154324362,-0.30999450091810016,-0.3622110538750998,0.3295818733081138,-0.7782767543096929,-0.3441757716599914,0.9433391914199365,-0.6005182703188059,-0.491442339221527,-0.6719526850432539,-0.3221090378587875,-0.2588342420856027,-1.0545448333223795,0.6049669320927425,0.30454911090843334,0.7782767543096906,-0.019289155468911367,0.08620851739072109,-0.011112563042425284,-0.1216738934603601,0.3548771382270609,0.5085800721449074
140.0,133.0,874.6917724609375,693.0703735351562,2142.00634765625,0.6587784886360168,0.4646950364112854,8.440112113952637,-143.33380126953125,-0.44758573174476624,-0.2587604522705078,28.272192001342773,25.418214797973633,0.1586959728342058,0.13814587805521034,0.7021591643756512,-16541245268588.188,83126916.83284903,1.0,-1298810956772.543,-5786266793256.969,-10618019499747.906,1014995970144.0703,-5333402443335.5,-11207842825252.672,5591625095840.395,-3105169883644.6875,16541245268588.188,-5265500000000000.0,111.58363636363637,-4253.762125037887,-4072.7469528979836,-75.58800000000019,-19.440378609432173,-0.11713995935925962,-0.22619699036540733,0.13613745006096736,0.8638404035239478,0.500954467278051,-1.743774008390071,-2.439831709595104,-0.13789766384169597,-0.13263273853330051,0.2851551993637106,0.3511882314532876,-0.31353662879292277,-0.22067512446312268,0.27125179102067487,-1.5589868948720196,0.8878510269396668,0.9433391914199365,-0.5831866895708382,-1.1728838039907574,-2.605591978773466,0.24191530704254288,-1.0949822339175361,-1.521007927957805,0.6802541243870904,-1.5252769760750222,1.558986894872018,-3.2262861538441854,2.209170783782363,-1.1407204934202975,-1.053234707357212,0.056282128579683614,-0.6645781755819168
154.0,140.0,951.0302124023438,876.2945556640625,1591.498779296875,0.6438396573066711,1.88678777217865,82.556396484375,-52.06739807128906,0.0762120932340622,-0.03355216979980469,-9.20964241027832,-3.3654651641845703,0.16706190606208965,0.1455426411328287,0.6866779412872368,389983185219.34375,81562516.79777128,-1.0,4543039187159.121,-2595722482496.8438,-1184845093878.3984,-362491420047.5078,-1239728654166.8906,1629711839386.2188,-1398980952053.1797,1263321587187.082,-389983185219.3125,-95500000000000.0,29.61787878787878,1088.7887800995668,2462.986709536426,10.365999999999985,-24.526256489399657,0.04639086301502198,0.1930660843771094,-0.48515757150771516,0.8456677613190902,2.199180491805989,-1.0867464927685946,-0.7361043217296848,0.051813813737781794,-0.025601747292654294,-0.2732832696989627,-0.17704974758105654,-0.196786013654549,-0.07849446173567474,0.1458497406115894,0.004492016515671176,0.8701455521336801,-0.9893557373428601,1.2318460211607838,-0.5190974114427361,-0.2630506217605023,-0.07053962193246735,-0.4699356993417712,0.48967958956471785,-0.15912844824792807,0.693423330509597,-0.004492016515668495,-0.12602914531760223,0.6592780862326364,0.30227861837728626,0.6201338789284865,0.22083579569022205,-0.8337542394236057
15.0,11.0,175.96871948242188,121.93679809570312,355.20599365234375,-0.08806444704532623,-0.043060824275016785,23.798473358154297,-0.5691986083984375,0.12700386345386505,0.06561088562011719,8.579550743103027,-0.0821533203125,0.03967850462596819,0.038185029312444295,0.9220350572440026,-3239629607848.75,96401244.2434082,2.0,-645606616289.7969,-300410015786.7461,-1537939328739.8906,-764870892107.9766,-2638409696054.5625,-601219911794.1875,191342685595.95703,-1402179993818.629,3239629607848.75,193800000000000.0,-0.6887878787878776,-2835.778467435761,-2454.6841997459996,-2.3500000000000227,12.99094711958378,-1.6139318187835292,-1.5330944541454068,-1.8804200475738084,-0.04467172531317336,-0.10539432773127708,-1.6076249013751764,0.22524497851723077,0.07020980798931499,0.021525827233500466,-0.008243685954512346,-0.11679442181219456,-1.974482544451206,-2.1421236786353974,2.052305370815304,-0.33067699227463737,1.0380864298188246,1.909686655801335,-0.3802394698446335,-0.04875633129538755,-0.35073455640409723,-0.16181120108367122,-0.6834946645240605,0.14025894507866107,0.03182637557517171,-0.6603504411610914,0.33067699227463687,0.04745332132973634,0.08620851739072109,-0.757729447608126,-0.6389559864653089,0.19649179272377948,0.41421375798249893
165.0,154.0,755.8279418945312,743.7290649414062,1347.17333984375,0.631007194519043,1.6441020965576172,94.67737579345703,-88.0726318359375,-1.2244843244552612,-0.5376615524291992,47.067378997802734,13.795356750488281,0.16016139890031258,0.14022956445599366,0.698995876172184,-8730284947967.156,53366336.46777022,2.0,-1592323038752.539,-44286734440.4375,-2132261306727.3281,-4941819737233.445,-8039191956574.828,-691092991392.2812,4791364804202.141,-1361892061584.998,8730284947967.125,-417300000000000.0,55.79181818181817,-4215.275917048046,-4793.822806975195,-10.866999999999962,-9.92737861946398,-0.37176790273878496,-0.11027714575410003,-0.7608997917776321,0.8300574535443032,1.9093715927418966,-0.9792961936879838,-1.4082366806447533,-0.41927832814377125,-0.26518142138191986,0.5651829946093867,0.13788558725774064,-0.2930859044089977,-0.1806224811283662,0.24562830995046622,-0.8377000861625963,0.5510284789657033,1.909686655801335,-0.6743793796712548,0.0037268502088590467,-0.4983226060802541,-1.1092668830949728,-1.508118317944682,0.12618253535501234,0.5841645238902389,-0.6398887215502717,0.8377000861625924,-0.3190006550552917,1.154201804777927,-1.1303255407222532,-1.237854483018709,0.1801865180096249,-0.3481388249699168
180.0,165.0,806.0851440429688,647.142822265625,2117.02197265625,0.8250075578689575,0.4046955108642578,138.3116455078125,-10.096923828125,0.8946667313575745,0.8007164001464844,21.98629379272461,13.7738037109375,0.14703650874351926,0.12502844154458378,0.727629646367642,4117766572464.6562,-167566.51064395905,0.0,-503049317616.9531,4202641149304.242,2430172071134.8203,-2004799486385.1953,-407877825094.84375,4525644397559.484,-3724784285590.211,-3151456019188.537,-4117766572464.6875,74700000000000.0,-27.551515151515147,1846.8047811218457,2292.0322379834724,344.15200000000004,9.95217050327983,-0.26410783523055836,-0.3312907947798869,0.1079404393445375,1.0660531022698438,0.4293046000221653,-0.5924862494239493,0.047384935477681495,0.3482454354927293,0.3708871874066439,0.19150216910497342,0.1374900459624886,-0.476250048526463,-0.4728186359958215,0.4775695120729387,0.3487263836840343,-0.054854382960556926,-0.023008272961461865,-0.33594765237760615,0.8739807599135434,0.6346670341418481,-0.44306372188176785,-0.3429237524271988,0.9432562712940683,-0.438394476425223,-1.548785105553458,-0.34872638368403713,-0.023966525810595572,-0.42173950953734035,0.507015351002834,0.5763637595880925,0.8598486436107153,0.31313223794337536
