source,destination,pixels,fraction
20,20,92015.0,0.01507760176090789
20,21,100505.0,0.01646877536249576
20,56,8523.0,0.0013965809901452801
20,94,14690.0,0.002407107209343443
20,99,31649.0,0.005186013347073562
20,105,10915.0,0.0017885347304277524
20,subducted,15684.0,0.0025699843071029654
21,20,59997.0,0.00983112397814694
21,21,374074.0,0.06129586264315447
21,56,6501.0,0.0010652555458095115
21,94,71870.0,0.01177663683699886
21,99,57399.0,0.009405415024445493
21,105,8977.0,0.0014709735478744784
21,subducted,30549.0,0.005005767061826606
56,20,6710.0,0.0010995023400064332
56,21,3107.0,0.0005091138256929937
56,56,309.0,5.063282012846317e-05
56,94,3167.0,0.0005189454412519186
56,99,5944.0,0.0009739853813708255
56,105,1595.0,0.0002613571136080866
56,subducted,1221.0,0.00020007337662412145
94,20,1236.0,0.00020253128051385267
94,21,62480.0,0.010237989002027116
94,94,129519.0,0.021223016926273208
94,99,52926.0,0.008672468084527643
94,105,1316.0,0.00021564010125908585
94,subducted,12742.0,0.002087907424197015
99,20,27097.0,0.004440121446669794
99,21,49405.0,0.008095516111478067
99,56,2368.0,0.0003880210940589022
99,94,23592.0,0.0038657912377692656
99,99,2494507.0,0.40875056388411735
99,105,30497.0,0.0049972463283422044
99,subducted,871724.0,0.14284092069147064
105,20,19254.0,0.003154965432858996
105,21,26639.0,0.004365073447903334
105,56,4578.0,0.0007501522671459689
105,94,9167.0,0.0015021069971444072
105,99,20165.0,0.003304242129095339
105,105,278038.0,0.04555937877953929
105,subducted,72665.0,0.011906905743154615
new_crust,20,19607.0,0.0032128081043973377
new_crust,21,41174.0,0.006746782317052888
new_crust,56,1687.0,0.00027643225746510475
new_crust,94,14891.0,0.0024400431214658415
new_crust,99,861025.0,0.141087779777055
new_crust,105,69061.0,0.01131635336858186
