source,destination,pixels,fraction
20,20,235461.0,0.04026492725290939
20,21,67350.0,0.011517163566295256
20,56,5397.0,0.0009229121272055753
20,94,1498.0,0.00025616497434759156
20,99,14226.0,0.002432712233023256
20,105,25856.0,0.004421496379660433
20,subducted,10876.0,0.0018598466361845168
21,20,73369.0,0.012546440589391486
21,21,507244.0,0.08674108561279689
21,56,1441.0,0.0002464177089685444
21,94,41984.0,0.007179459467963474
21,98,385.0,6.583679247251186e-05
21,99,41171.0,0.007040432682820222
21,106,147.0,2.5137684398595437e-05
21,105,13248.0,0.0022654696796774987
21,subducted,22941.0,0.003923017808082843
56,20,4961.0,0.0008483540972886528
56,21,3641.0,0.0006226279516686121
56,56,4709.0,0.0008052609240339178
56,94,469.0,8.020118355742353e-05
56,99,8844.0,0.0015123651756542723
56,105,1048.0,0.00017921287924985046
56,subducted,2290.0,0.000391600661719616
94,20,182.0,3.112284735064197e-05
94,21,47744.0,0.00816444628521456
94,94,66917.0,0.011443118550345651
94,98,192.0,3.283289390836955e-05
94,99,11142.0,0.0019053338746200703
94,106,587.0,0.00010037973293860898
94,105,1048.0,0.00017921287924985046
94,subducted,6050.0,0.0010345781674251863
98,20,25.0,4.275116394318952e-06
98,21,522.0,8.926443031337971e-05
98,94,806.0,0.000137829752552843
98,99,1627.0,0.00027822457494227737
98,105,1890.0,0.00032319879941051274
98,subducted,1763.0,0.00030148120812737247
99,20,13468.0,0.0023030907039475056
99,21,55840.0,0.009548899978350811
99,56,2771.0,0.0004738539011463126
99,94,20486.0,0.003503201378160722
99,98,445.0,7.609707181887734e-05
99,99,2669997.0,0.45658191789929675
99,106,4404.0,0.0007531045040232266
99,105,27170.0,0.004646196497345836
99,subducted,642636.0,0.10989374796718215
106,20,10.0,1.7100465577275807e-06
106,21,1035.0,0.0001769898187248046
106,94,310.0,5.3011443289555004e-05
106,99,14303.0,0.0024458795915177586
106,105,160.0,2.736074492364129e-05
106,subducted,3532.0,0.0006039884441893815
105,20,18880.0,0.0032285679009896725
105,21,18958.0,0.0032419062641399475
105,56,14847.0,0.002538906124258139
105,94,1820.0,0.0003112284735064197
105,98,358.0,6.121966676664739e-05
105,99,11561.0,0.001976984825388856
105,106,55.0,9.405256067501695e-06
105,105,284992.0,0.04873495885798987
105,subducted,59530.0,0.010179907158152288
new_crust,20,12493.0,0.0021363611645690665
new_crust,21,33731.0,0.005768158043870902
new_crust,56,2262.0,0.00038681253135797877
new_crust,94,6210.0,0.0010619389123488277
new_crust,98,261.0,4.463221515668986e-05
new_crust,99,635989.0,0.10875708002026063
new_crust,106,1227.0,0.00020982271263317415
new_crust,105,59002.0,0.01008961669990427
