source,destination,pixels,fraction
20,20,155820.0,0.026845720836548636
20,21,75300.0,0.012973192009960931
20,56,10408.0,0.00179316045736618
20,94,3283.0,0.0005656173886945782
20,98,61.0,1.0509491535293715e-05
20,99,24596.0,0.0042375648164276105
20,106,114.0,1.964068909874563e-05
20,105,2594.0,0.00044691182036970324
20,subducted,8801.0,0.0015162956557724589
21,20,58439.0,0.010068265177557859
21,21,321576.0,0.05540328278612478
21,56,1254.0,0.00021604758008620195
21,94,46220.0,0.007963093422315992
21,98,1123.0,0.0001934780162972925
21,99,54649.0,0.009415298408397808
21,106,27.0,4.651742154966071e-06
21,105,3137.0,0.0005404635237084653
21,subducted,11196.0,0.0019289224135925973
56,20,28500.0,0.004910172274686408
56,21,9262.0,0.0015957198458998426
56,56,30096.0,0.0051851419220688465
56,94,1352.0,0.000232931681241264
56,99,5598.0,0.0009644612067962986
56,105,655.0,0.00011284781894454727
56,subducted,3575.0,0.0006159251186668038
94,20,402.0,6.925927208505038e-05
94,21,23604.0,0.004066656363919227
94,56,133.0,2.2914137281869904e-05
94,94,74916.0,0.012907033899312524
94,98,418.0,7.201586002873399e-05
94,99,30949.0,0.0053321025168164785
94,106,574.0,9.889259247964906e-05
94,105,417.0,7.184357328225376e-05
94,subducted,3109.0,0.000535639494807019
98,20,70.0,1.2060072253615739e-05
98,21,1948.0,0.000335614582143478
98,56,251.0,4.324397336653643e-05
98,94,3486.0,0.0006005915982300638
98,98,17472.0,0.0030101940345024884
98,99,3710.0,0.0006391838294416342
98,106,7147.0,0.001231333377094167
98,105,4778.0,0.0008231860746825142
98,subducted,2556.0,0.0004403649240034547
99,20,13638.0,0.0023496466484973066
99,21,38982.0,0.0067160819512921245
99,56,4030.0,0.0006943155883153061
99,94,35407.0,0.006100156832625321
99,98,2429.0,0.00041848450720046614
99,99,2874507.0,0.49523945876463166
99,106,10716.0,0.0018462247752820894
99,105,19392.0,0.00334098458774452
99,subducted,631137.0,0.10873654031328966
106,20,46.0,7.925190338090342e-06
106,21,499.0,8.59710864936322e-05
106,94,927.0,0.00015970981398716843
106,98,2064.0,0.00035559984473518405
106,99,7968.0,0.0013727807959544316
106,106,72456.0,0.01248320850297117
106,105,8977.0,0.0015466181231529783
106,subducted,17885.0,0.0030813484607988212
105,20,31688.0,0.005459422422465365
105,21,24915.0,0.004292524288554802
105,56,16437.0,0.002831877251895456
105,94,5191.0,0.0008943405009788471
105,98,5408.0,0.000931726724965056
105,99,48653.0,0.00838226707650238
105,106,5509.0,0.0009491276863595586
105,105,156131.0,0.026899302014703984
105,subducted,27842.0,0.00479680759550242
new_crust,20,9264.0,0.001596064419392803
new_crust,21,14577.0,0.0025114239034422373
new_crust,56,3669.0,0.000632120072835945
new_crust,94,4929.0,0.0008492013734010283
new_crust,98,1743.0,0.0003002957991150319
new_crust,99,655999.0,0.11301993340428101
new_crust,106,4066.0,0.0007005179111885942
new_crust,105,13620.0,0.0023465454870606624
