source,destination,pixels,fraction
20,20,171613.0,0.031373858853193166
20,21,97097.0,0.01775103035940457
20,56,690.0,0.0001261440718867643
20,94,530.0,9.689327260867403e-05
20,99,13574.0,0.0024815646837549835
20,105,21195.0,0.003874816816869521
20,subducted,4448.0,0.0008131722199309097
21,20,65440.0,0.011963576904738923
21,21,397387.0,0.07264929607951537
21,56,1670.0,0.00030530521746506724
21,94,29189.0,0.005336259875801106
21,98,229.0,4.1865206466766704e-05
21,99,34449.0,0.006297879902068324
21,106,345.0,6.307203594338215e-05
21,105,18114.0,0.0033115561132707953
21,subducted,13804.0,0.0025236127077172383
56,20,3723.0,0.0006806295357020631
56,21,1010.0,0.00018464567044294486
56,56,616.0,0.00011261557722064756
56,94,193.0,3.528377662919639e-05
56,99,716.0,0.000130897326769454
56,105,4716.0,0.0008621673087217108
56,subducted,369.0,6.74596558350957e-05
94,20,1608.0,0.00029397053274480726
94,21,33451.0,0.006115428041571236
94,56,117.0,2.1389646972103513e-05
94,94,22454.0,0.004104984043688994
94,98,462.0,8.446168291548567e-05
94,99,19383.0,0.0035435515150451487
94,106,224.0,4.095111898932638e-05
94,105,4450.0,0.0008135378549218857
94,subducted,2580.0,0.0004716691383592057
98,20,37.0,6.764247333058376e-06
98,21,110.0,2.0109924503687062e-05
98,94,484.0,8.848366781622308e-05
98,98,37819.0,0.006913974861863101
98,99,778.0,0.00014223201148971397
98,106,3640.0,0.0006654556835765538
98,105,5834.0,0.0010665572686773667
98,subducted,1812.0,0.0003312653018243724
99,20,13992.0,0.0025579823968689946
99,21,55308.0,0.010111270040453856
99,56,14.0,2.559444936832899e-06
99,94,25064.0,0.004582137706912842
99,98,959.0,0.00017532197817305358
99,99,3058588.0,0.5591633978898474
99,106,10723.0,0.0019603520041185127
99,105,28805.0,0.00526605795753369
99,subducted,323427.0,0.059128114113218146
106,94,18.0,3.2907149187851557e-06
106,98,6251.0,0.0011427921642958893
106,99,906.0,0.0001656326509121862
106,106,79097.0,0.014460315440619416
106,105,298.0,5.4479613655443136e-05
106,subducted,7416.0,0.0013557745465394842
105,20,2277.0,0.0004162754372263222
105,21,663.0,0.00012120799950858657
105,56,31.0,5.66734236012999e-06
105,94,37.0,6.764247333058376e-06
105,98,9660.0,0.0017660170064147003
105,99,16976.0,0.003103509803405378
105,106,677.0,0.00012376744444541948
105,105,420990.0,0.07696433742552015
105,subducted,17904.0,0.0032731644392183018
new_crust,20,2817.0,0.0005149968847898769
new_crust,21,10572.0,0.001932746562299815
new_crust,56,45.0,8.22678729696289e-06
new_crust,94,2347.0,0.0004290726619104867
new_crust,98,2871.0,0.0005248690295462324
new_crust,99,321101.0,0.058702880618712906
new_crust,106,13646.0,0.0024947275434301242
new_crust,105,20096.0,0.003673900389328138
