source,destination,pixels,fraction
20,20,149840.0,0.027942759116222595
20,21,84102.0,0.015683675435081104
20,56,5459.0,0.0010180160305356322
20,94,156.0,2.909150041464712e-05
20,99,8658.0,0.0016145782730129154
20,105,11627.0,0.0021682492007762955
20,subducted,7267.0,0.0013551790609823118
21,20,119183.0,0.022225719832813386
21,21,406907.0,0.07588163563604369
21,56,1662.0,0.00030993636980220207
21,94,24989.0,0.004660048101677031
21,98,466.0,8.690153328990743e-05
21,99,19761.0,0.0036851098698323192
21,106,54.0,1.0070134758916311e-05
21,105,15773.0,0.002941411769488648
21,subducted,12203.0,0.0022756639715380694
56,20,7051.0,0.0013148985219466466
56,21,525.0,9.790408793390858e-05
56,56,975.0,0.00018182187759154453
56,99,7.0,1.3053878391187812e-06
56,105,5215.0,0.000972513940143492
56,subducted,453.0,8.447724158868684e-05
94,20,1904.0,0.00035506549224030847
94,21,29332.0,0.005469948013861727
94,94,69493.0,0.012959331014840208
94,98,477.0,8.895285703709408e-05
94,99,13232.0,0.0024675559838885303
94,106,405.0,7.552601069187234e-05
94,105,7661.0,0.0014286537479269975
94,subducted,6712.0,0.001251680453737894
98,94,205.0,3.822921528847859e-05
98,98,38529.0,0.0071850411504867885
98,99,538.0,0.00010032837963512918
98,106,2842.0,0.0005299874626822251
98,105,15604.0,0.0029098959773727804
98,subducted,4614.0,0.0008604370699562937
99,20,16023.0,0.00298803276374289
99,21,29626.0,0.0055247743031047155
99,56,434.0,8.093404602536444e-05
99,94,15797.0,0.0029458873849370552
99,98,606.0,0.00011300929007228305
99,99,3153716.0,0.5881175020620466
99,106,13374.0,0.00249403670862494
99,105,13346.0,0.002488815157268465
99,subducted,186867.0,0.0348477013332299
106,21,52.0,9.697166804882375e-06
106,94,1242.0,0.00023161309945507518
106,98,4415.0,0.0008233267585299169
106,99,16625.0,0.0031002961179071053
106,106,98070.0,0.018288483626054123
106,105,1408.0,0.00026256943963989197
106,subducted,15855.0,0.0029567034556040395
105,20,6069.0,0.0011317712565159833
105,21,12065.0,0.002249929182709728
105,56,635.0,0.00011841732540577515
105,94,3694.0,0.0006888718111006825
105,98,11574.0,0.002158365549994396
105,99,9516.0,0.0017745815252934744
105,106,700.0,0.00013053878391187812
105,105,379589.0,0.07078726635189414
105,subducted,30244.0,0.005640021400901202
new_crust,20,3578.0,0.0006672396697667141
new_crust,21,9420.0,0.0017566790634998455
new_crust,56,253.0,4.718044618529309e-05
new_crust,94,6095.0,0.0011366198399184245
new_crust,98,4309.0,0.0008035594569661183
new_crust,99,193325.0,0.03605201485680548
new_crust,106,15412.0,0.002874091053785522
new_crust,105,34576.0,0.006447869989338711
