source,destination,pixels,fraction
94,94,830241.0,0.13107825247310756
94,98,4598.0,0.0007259311511613477
94,99,92094.0,0.014539778911494815
94,106,5809.0,0.0009171235443880533
94,105,33070.0,0.005221083768792033
94,subducted,52560.0,0.008298160353423322
98,94,2456.0,0.0003877526984019726
98,98,23126.0,0.0036511274036009848
98,99,2034.0,0.00032112743833453267
98,106,13728.0,0.002167373389113306
98,105,12480.0,0.00197033944464846
98,subducted,9855.0,0.001555905066266873
99,94,127542.0,0.020136300757159768
99,98,3689.0,0.0005824184464189239
99,99,2374901.0,0.37494880748678466
99,106,14138.0,0.0022321040920224304
99,105,6576.0,0.0010382173227570732
99,subducted,1107108.0,0.17478994886905988
106,94,101.0,1.5945856082491545e-05
106,98,1568.0,0.0002475554686866014
106,99,3871.0,0.0006111525633200472
106,106,43550.0,0.006875663687054522
106,105,673.0,0.0001062530806288793
106,subducted,20329.0,0.0032095377059502043
105,94,28591.0,0.004513940309450651
105,98,18849.0,0.0029758756564245855
105,99,19255.0,0.0030399748402809377
105,106,8576.0,0.0013539768491430445
105,105,189230.0,0.029875587589008663
105,subducted,45906.0,0.007247628409137196
new_crust,94,62957.0,0.009939636251340794
new_crust,98,9024.0,0.001424706983053502
new_crust,99,1104775.0,0.17442161538153067
new_crust,106,19284.0,0.0030445533534135343
new_crust,105,41390.0,0.0065346433985576735
