age,Nat. Terrestrial Veg.: Woody,Nat. Terrestrial Veg.: Herbaceous,Nat Aquatic Veg.: Woody,Nat. Bare Surface,Water: Wet Soil,Water: Liquid,Water: Snow,Water: Sea-ice
0,5.806880735384577,10.4646053804341,0.12647660653535697,3.05793679935726,1.645823918201333,66.07741670746557,9.917900048958685,2.902959803663114
6,5.956012503295296,11.220267797737858,0.18473273578628904,2.386559428313185,1.1842666867522815,66.9921556258552,9.509263705293815,2.566741516966068
11,5.239364039217163,11.788882925971954,0.27904097465446465,2.5440275110157047,1.2226529645112292,67.27531572075975,8.923367886867775,2.727347977001971
15,5.1875023537830005,12.1624675177946,0.1563892654941689,2.492715041614883,1.5130509421408755,66.73939856136784,9.118967254170904,2.629509063633739
20,5.334103804968679,11.899667645840395,0.0794205613929374,2.2858567456282404,1.4229991275311014,66.82397783050251,9.339281342974429,2.8146929411617014
33,5.12942275825707,11.682570393803587,0.062434094075998946,1.5753869619252063,1.1425851127932813,67.99433758269625,10.287953966281274,2.1253091301673384
40,6.0638942241303555,10.99687417617595,0.22249133807855986,1.66290845980994,0.9908249538658532,69.00577775267077,9.213707019922419,1.8435220753461627
48,5.624560627173326,11.661111738786579,0.4579088677989932,1.7876197290952685,0.8542074655720007,69.68466761445661,8.308697071266273,1.6212268858509398
56,6.68395912577361,10.206258081321634,0.3707208225059315,2.4675295635144803,1.006006854216096,70.8397277771501,6.760280539549831,1.665517235968315
68,5.152568291090774,11.320127041514455,0.9395320993233659,3.622236658757956,0.9635014562070826,71.10517565497935,4.657195043874515,2.239663754252501
94,5.842619007268482,10.016582401235265,1.3000335806374672,3.4465463726634784,0.6025292182929738,72.70500273038827,4.113255407424146,1.9734312820899083
100,5.511382894588182,9.760804648564505,1.5503191729748051,2.64043453972558,0.8124866618963331,71.23914513739817,6.311571040309319,2.1738559045431147
113,3.0841814798076803,7.627747649355378,0.8122512835963294,3.3192459420781075,0.8566200931470394,77.59763491884156,2.8826388104294556,3.8196798227444484
120,5.089800744423104,9.244973104106254,1.2855185854705682,3.175351341342472,1.282027140687179,69.65689297505617,6.46082049737004,3.804615611544207
133,6.880970762876762,9.559320823761283,1.1532752105851192,3.4140641672629584,0.9045980366311401,69.77346407813305,6.215477849332781,2.098829071416915
140,6.520096599254321,11.763854366738222,0.5393301447419626,3.5090981558894794,1.4490084296815176,65.82656228423656,7.595245829096524,2.7968041903614154
154,8.380644371634089,9.736501839089119,0.7388917134284889,3.223898115718249,0.3844316084811509,66.76454480975157,8.834846031208023,1.9362415106893132
165,7.0387722981709535,14.437810699356005,0.6164361528515296,2.7558875958774274,0.03218798252551501,66.86430597923649,8.12867190148006,0.12592739050201485
180,7.074373266046523,13.768963645036969,0.5092409520581479,2.654753386309143,0.1301053553270817,67.4210933478954,8.061922538570657,0.3795475087560728
200,6.547439711771426,12.591405239834796,0.36860241780589764,1.9883581892818136,0.5003750360913394,69.71342299677374,6.572546730438495,1.7178496780024854
210,6.717618222674149,12.909126715123213,0.32766620846357597,3.473693336597246,0.9663848403821288,71.39143489750059,3.626963839616365,0.5871119396427271
220,6.169618310548715,12.647797957544032,1.0671463676420743,4.707389466350318,0.0,71.92464520644246,3.483402691472401,0.0
230,6.285032136983894,10.745431307196927,1.2134732108110824,5.040077078547308,0.15058326742740932,71.63422761395448,4.705996811408629,0.22517857367026956
240,4.63108766743243,11.805025954380548,1.5932168681504915,4.778885624976462,0.22378591872858059,70.17460754591445,6.563621969896685,0.22976845052034298
250,4.165156322574976,12.070140379618122,0.6341287550684794,6.127819047439711,0.27154809877101144,69.770639538533,6.825499943509208,0.13506791448549443
270,4.431310335304235,12.89449403080631,0.4700896948241881,5.235127229817095,0.0,69.11520904731418,7.853769661933993,0.0
290,5.374333879410989,11.952647378199575,0.43256647083192107,5.104158820723334,0.0,68.6603404825569,8.475952968277282,0.0
300,4.1398531553245705,11.701537961812225,0.4025949672981082,5.293226440201358,0.012396590466865013,67.42191717194542,10.98649791611745,0.041975796834004944
315,5.2617642074341875,11.438267333258011,0.3289607891135967,1.8679425739715538,0.4069298509898442,68.20755109278299,11.80294677939718,0.6856373730526368
331,5.920156542261389,9.23043849408102,0.32813696506358353,1.8587432054130733,0.1136484891851517,68.59835753022257,13.472700824765562,0.4778179490076451
350,5.820787669943132,8.866955554300205,0.587896533976073,2.1044585357586714,0.2884364917962816,70.25351812099072,11.639005793444557,0.4389412997903564
370,5.6913688346577285,9.320313774965792,0.9800563966406809,2.2743428237863896,0.4485918100905108,70.4601606535357,9.749938017047665,1.075227689275537
383,0.0,0.0,0.0,15.683020750950929,2.6227615523669643,54.450317133029536,10.079938393652945,17.163962169999625
393,0.0,0.0,0.0,18.125992511831683,1.446026971214803,61.27409096900539,8.74420577084824,10.40968377709989
408,0.0,0.0,0.0,18.23042201760002,1.7157116584441179,63.41222821652293,8.885981966883842,7.75565614054909
420,0.0,0.0,0.0,17.845637341668862,1.5773484477585709,67.41711153165367,9.883848654891475,3.2760540240274167
444,0.0,0.0,0.0,17.695760209141465,2.199492524385192,70.59989690430459,7.443897582194102,2.0609527799746417
463,0.0,0.0,0.0,20.632634102863456,1.193642589035765,70.55327238604552,5.559223534063948,2.061227387991313
475,0.0,0.0,0.0,19.975222510952936,1.2518006439950289,71.28431815614054,6.109400695464417,1.3792579934470681
489,0.0,0.0,0.0,18.531176640429834,0.5578661858672592,70.91087086832624,8.664157533988627,1.3359287713880417
500,0.0,0.0,0.0,18.890560074818914,0.40769483046485644,65.77893740820247,8.320936742866468,6.601870943647296
518,0.0,0.0,0.0,19.648831268281047,0.49505940948292093,65.083551450558,7.853200831042317,6.91935704063571
535,0.0,0.0,0.0,22.029800461969142,0.8332784117299992,68.00508652506309,6.900958303518749,2.230876297719027
545,0.0,0.0,0.0,20.598818087096248,2.3063738874452353,67.5496883591308,3.9700473267301875,5.575072339597535
