source,destination,pixels,fraction
94,94,719259.0,0.11380604749145655
94,98,4234.0,0.0006699322567793062
94,99,148397.0,0.02348038193417069
94,106,3394.0,0.0005370217476402847
94,105,106871.0,0.016909855978805205
94,subducted,69733.0,0.011033629206894512
98,94,5.0,7.911339829703663e-07
98,98,28710.0,0.004542691330215843
98,99,1607.0,0.00025427046212667576
98,106,10024.0,0.0015860654090589905
98,105,13163.0,0.0020827393235677864
98,subducted,7345.0,0.0011621758209834682
99,94,146842.0,0.023234339265466905
99,98,6048.0,0.0009569556658009552
99,99,2328144.0,0.3683747671297121
99,106,16565.0,0.0026210268855808238
99,105,20557.0,0.0032526682575843642
99,subducted,1078295.0,0.17061516363340623
106,98,22277.0,0.00352481834772617
106,99,7103.0,0.0011238849362077024
106,106,50347.0,0.007966244528121807
106,105,8332.0,0.0013183456692218184
106,subducted,17026.0,0.0026939694388106914
105,94,428.0,6.772106894226335e-05
105,98,31753.0,0.005024175472251608
105,99,16988.0,0.0026879568205401168
105,106,6003.0,0.0009498354599542218
105,105,177211.0,0.02803952885123232
105,subducted,49467.0,0.007827004947119022
new_crust,94,35627.0,0.005637146082257048
new_crust,98,19112.0,0.0030240305365059283
new_crust,99,1097068.0,0.17358555528586678
new_crust,106,18738.0,0.0029648537145797447
new_crust,105,53369.0,0.008444405907429096
