source,destination,pixels,fraction
20,20,208169.0,0.034439487493229365
20,21,84219.0,0.013933194650463249
20,56,3615.0,0.0005980657412392055
20,94,1172.0,0.0001938957257904146
20,99,16388.0,0.002711231360284398
20,105,9300.0,0.0015385923633539724
20,subducted,10937.0,0.0018094177073120857
21,20,83535.0,0.01382003366373915
21,21,445634.0,0.07372570637106282
21,56,4915.0,0.000813137792030621
21,94,37029.0,0.006126079206734866
21,98,54.0,8.93376210979726e-06
21,99,35421.0,0.005860051623909792
21,106,2.0,3.3088007814063926e-07
21,105,14379.0,0.0023788623217921257
21,subducted,20963.0,0.0034681195390311105
56,20,4539.0,0.0007509323373401808
56,21,1385.0,0.0002291344541123927
56,56,4950.0,0.0008189281933980822
56,94,165.0,2.7297606446602737e-05
56,99,3870.0,0.0006402529512021369
56,105,2237.0,0.000370089367400305
56,subducted,1646.0,0.0002723143043097461
94,20,5013.0,0.0008293509158595123
94,21,30142.0,0.004986693657657575
94,56,1522.0,0.00025179973946502646
94,94,50054.0,0.008280935715625779
94,98,47.0,7.775681836305023e-06
94,99,7722.0,0.0012775279817010081
94,106,18.0,2.9779207032657533e-06
94,105,2437.0,0.0004031773752143689
94,subducted,4415.0,0.0007304177724954612
98,21,466.0,7.709505820676895e-05
98,94,2542.0,0.0004205485793167525
98,99,1388.0,0.00022963077422960364
98,105,17822.0,0.0029484723763112362
98,subducted,3292.0,0.0005446286086194922
99,20,37435.0,0.006193247862597415
99,21,112126.0,0.01855012982079866
99,56,6932.0,0.0011468303508354557
99,94,36204.0,0.005989591174501852
99,98,860.0,0.00014227843360047488
99,99,2449850.0,0.40530327971642255
99,106,3721.0,0.0006156023853806594
99,105,55479.0,0.009178447927582262
99,subducted,849923.0,0.14061129432676328
106,20,17.0,2.8124806641954337e-06
106,21,200.0,3.308800781406392e-05
106,94,1595.0,0.0002638768623171598
106,98,343.0,5.6745933401119634e-05
106,99,44635.0,0.007384416143903717
106,106,12151.0,0.002010261914743454
106,105,17183.0,0.002842756191345302
106,subducted,11453.0,0.0018947847674723706
105,20,13897.0,0.002299120222960232
105,21,7238.0,0.0011974550027909734
105,56,2559.0,0.0004233610599809479
105,94,1491.0,0.0002466710982538466
105,98,3897.0,0.0006447198322570356
105,99,13538.0,0.002239727248933987
105,106,349.0,5.773857363554155e-05
105,105,246884.0,0.04084449860583679
105,subducted,43681.0,0.0072265863466306314
new_crust,20,8059.0,0.0013332812748677058
new_crust,21,20556.0,0.00340078544312949
new_crust,56,1469.0,0.00024303141739429954
new_crust,94,5092.0,0.0008424206789460675
new_crust,98,1432.0,0.0002369101359486977
new_crust,99,864434.0,0.14301199473371268
new_crust,106,3109.0,0.0005143530814696237
new_crust,105,45290.0,0.007492779369494776
