source_code,20,21,56,94,99,105,subducted
20,92015,100505,8523,14690,31649,10915,15684
21,59997,374074,6501,71870,57399,8977,30549
56,6710,3107,309,3167,5944,1595,1221
94,1236,62480,0,129519,52926,1316,12742
99,27097,49405,2368,23592,2494507,30497,871724
105,19254,26639,4578,9167,20165,278038,72665
new_crust,19607,41174,1687,14891,861025,69061,0
