source_code,20,21,56,94,98,99,105,106,off_grid,unmapped_plate
20,478378,15156,8304,48299,3438,78357,119563,1,0,1
21,10516,581,0,1265,0,1046,7499,0,0,0
56,12205,0,392,2771,475,264,622,0,0,0
94,58260,1577,176,8369,1296,22450,2633,1,0,0
98,0,0,0,0,3719,358,1010,707,0,0
99,392167,4113,13355,41185,2578,2971559,54513,14706,3081,8
105,165769,21621,3150,23414,8556,8976,452715,1098,1563,0
106,173,0,0,0,909,3872,205,19201,0,0
