source_code,20,21,56,94,98,99,106,105,subducted
20,128431,83277,29941,7590,887,39226,79,24184,18713
21,142840,259215,9664,50646,812,100744,266,6225,29308
56,5585,6364,306,970,0,5352,0,6378,2541
94,3991,67958,1612,70923,0,25808,65,370,8169
98,1901,2219,26,3073,7270,9021,6279,31165,12919
99,10600,19092,5532,18528,2360,2599956,28270,16557,651911
106,39,386,137,1309,2726,62005,24521,8399,42802
105,41272,23413,5422,8791,21621,42940,9970,189514,42697
new_crust,16145,25427,6156,12225,10442,672122,37552,34084,0
