source_code,20,21,56,94,98,99,105,106,off_grid,unmapped_plate
20,634380,13375,16543,62383,3560,69666,72626,136,0,3
21,33343,4109,0,11803,0,1717,0,0,0,0
56,16839,0,5162,0,0,659,15010,0,0,0
94,50741,2702,116,89553,262,19474,1347,141,24,0
98,0,0,0,0,6121,4169,6373,2936,0,0
99,141339,4555,3903,15866,19430,3082253,54303,80543,1551,31
105,90800,0,1767,3560,52968,28056,264841,6823,1600,1
106,0,0,0,220,3107,25285,5142,64511,446,2
