source_code,20,21,56,94,98,99,105,106,off_grid,unmapped_plate
20,813860,29036,7290,24321,456,57588,43019,168,36,0
21,30714,34599,0,20853,0,690,0,0,0,0
56,9466,0,5122,521,0,9742,1111,0,0,0
94,31439,17639,0,70321,245,12243,1267,708,1482,0
98,565,0,0,909,0,1935,3224,0,0,0
99,144543,7873,4163,53361,835,3126822,93661,5959,4,25
105,40903,0,16185,2166,420,12932,338328,67,10,0
106,1159,0,0,394,0,17564,233,0,0,0
