source_code,20,21,56,94,98,99,105,106,off_grid,unmapped_plate
20,731799,47583,7524,30202,1001,68695,67853,346,0,6
21,22815,17349,0,4599,0,834,0,0,0,0
56,9757,0,68,280,6,1984,4572,38,0,0
94,48154,21997,2690,49136,3135,20095,30783,1105,0,0
98,0,0,0,0,2901,3793,41996,576,0,2
99,127376,2675,14295,27943,3634,3300223,78597,84341,506,71
105,16414,0,0,146,14107,6416,145171,1210,1445,0
106,0,0,0,0,830,6281,20766,2051,0,4
