source_code,20,21,56,94,98,99,106,105,subducted
20,122814,110599,5330,8164,6501,12559,221,26429,21921
21,137467,366473,5828,29054,6084,52473,1663,15588,30177
56,15085,9571,774,1457,5555,2452,32,13080,6399
94,7659,90312,84,97231,687,30699,684,352,12283
99,25441,45216,2220,21111,2342,2862582,18507,13199,676216
105,11638,6269,301,7863,20923,6405,3038,89361,30386
new_crust,22372,29690,2168,12215,7176,672491,5787,26900,0
