source_code,20,21,56,94,98,99,106,105,subducted
20,60344,78032,11661,4574,141,27102,0,22733,21329
21,76434,351794,2364,100993,67,63381,0,20781,41565
56,6494,2193,3773,629,362,6671,0,1234,2610
94,3952,54113,51,144223,304,38083,0,5981,18671
99,25066,51891,1277,46906,143,2582794,2876,13158,797003
105,22749,39899,11128,694,8190,22293,2034,214462,78683
new_crust,17308,37435,2075,14388,4637,816706,1976,69627,0
