source_code,status_code,n_pixels,age_from,age_to
105.0,3,27842,100.0,94.0
106.0,1,5,100.0,94.0
106.0,3,17885,100.0,94.0
20.0,1,1,113.0,100.0
20.0,3,6618,113.0,100.0
21.0,1,83,113.0,100.0
21.0,3,19077,113.0,100.0
56.0,1,1,113.0,100.0
56.0,3,1530,113.0,100.0
94.0,1,4,113.0,100.0
94.0,3,10427,113.0,100.0
98.0,3,4638,113.0,100.0
99.0,1,190,113.0,100.0
99.0,2,3631,113.0,100.0
99.0,3,708309,113.0,100.0
105.0,1,15,113.0,100.0
105.0,3,17972,113.0,100.0
106.0,1,16,113.0,100.0
106.0,2,1169,113.0,100.0
106.0,3,44829,113.0,100.0
20.0,3,4190,120.0,113.0
21.0,3,9216,120.0,113.0
56.0,3,2494,120.0,113.0
94.0,2,4,120.0,113.0
94.0,3,7757,120.0,113.0
98.0,1,7,120.0,113.0
98.0,2,49,120.0,113.0
98.0,3,5358,120.0,113.0
99.0,1,172,120.0,113.0
99.0,2,1095,120.0,113.0
99.0,3,635474,120.0,113.0
105.0,2,355,120.0,113.0
105.0,3,23898,120.0,113.0
106.0,1,67,120.0,113.0
106.0,2,1328,120.0,113.0
106.0,3,32531,120.0,113.0
20.0,1,6,133.0,120.0
20.0,2,546,133.0,120.0
20.0,3,8856,133.0,120.0
21.0,3,9347,133.0,120.0
56.0,3,2675,133.0,120.0
94.0,2,157,133.0,120.0
94.0,3,5490,133.0,120.0
98.0,2,328,133.0,120.0
98.0,3,4808,133.0,120.0
99.0,1,53,133.0,120.0
99.0,2,1435,133.0,120.0
99.0,3,737688,133.0,120.0
105.0,2,1055,133.0,120.0
105.0,3,20094,133.0,120.0
106.0,2,1046,133.0,120.0
106.0,3,21396,133.0,120.0
20.0,2,78,140.0,133.0
20.0,3,18713,140.0,133.0
21.0,2,22,140.0,133.0
21.0,3,29308,140.0,133.0
56.0,3,2541,140.0,133.0
94.0,2,4,140.0,133.0
94.0,3,8169,140.0,133.0
98.0,3,12919,140.0,133.0
99.0,1,18,140.0,133.0
99.0,2,3130,140.0,133.0
99.0,3,651911,140.0,133.0
105.0,2,1579,140.0,133.0
105.0,3,42697,140.0,133.0
106.0,2,262,140.0,133.0
106.0,3,42802,140.0,133.0
20.0,3,27349,154.0,140.0
21.0,1,3,154.0,140.0
21.0,3,29945,154.0,140.0
56.0,3,4099,154.0,140.0
94.0,2,24,154.0,140.0
94.0,3,5671,154.0,140.0
98.0,3,3566,154.0,140.0
99.0,1,31,154.0,140.0
99.0,2,1551,154.0,140.0
99.0,3,671446,154.0,140.0
105.0,1,1,154.0,140.0
105.0,2,1600,154.0,140.0
105.0,3,80503,154.0,140.0
106.0,1,2,154.0,140.0
106.0,2,446,154.0,140.0
106.0,3,29132,154.0,140.0
20.0,3,13294,165.0,154.0
21.0,1,1,165.0,154.0
21.0,3,37991,165.0,154.0
56.0,3,2486,165.0,154.0
94.0,3,8177,165.0,154.0
98.0,3,373,165.0,154.0
99.0,1,56,165.0,154.0
99.0,2,3063,165.0,154.0
99.0,3,676347,165.0,154.0
105.0,1,6,165.0,154.0
105.0,3,76295,165.0,154.0
106.0,3,1568,165.0,154.0
20.0,3,10876,180.0,165.0
21.0,2,36,180.0,165.0
21.0,3,22941,180.0,165.0
56.0,3,2290,180.0,165.0
94.0,2,1482,180.0,165.0
94.0,3,6050,180.0,165.0
98.0,3,1763,180.0,165.0
99.0,1,25,180.0,165.0
99.0,2,4,180.0,165.0
99.0,3,642636,180.0,165.0
105.0,2,10,180.0,165.0
105.0,3,59530,180.0,165.0
106.0,3,3532,180.0,165.0
20.0,3,10937,200.0,180.0
