source_code,94,98,99,105,106,off_grid,unmapped_plate
94,778980,0,93069,177946,166,0,3
98,26347,21460,13458,39598,16720,0,0
99,528205,8050,2871846,30611,5061,0,29
105,83755,9341,10865,97001,1438,0,0
106,6032,13007,119302,51487,92583,1816,0
