source_code,94,98,99,105,106,off_grid,unmapped_plate
94,659975,17698,101525,141203,3694,0,0
98,49,45412,138,15178,12944,0,0
99,370774,35987,2357812,64243,293721,1296,28
105,30612,47838,14308,339636,13231,170,0
106,1353,42166,14406,20944,450369,1466,0
