source_code,20,21,56,94,99,105,off_grid,unmapped_plate
20,580134,48956,15592,77678,93032,21173,0,12
21,25011,5589,0,14548,1635,0,0,0
56,10192,0,317,3441,6266,1837,0,0
94,51256,16767,0,135362,55448,1386,0,0
99,174726,10655,9459,87538,3148606,68206,1140,95
105,51928,0,5306,11947,22741,338584,1601,12
