source_code,dest_code,n_pixels,n_baseline,delta_alt_median_transition,delta_alt_median_baseline,delta_alt_cliffs_delta,delta_alt_pvalue,delta_lat_signed_median_transition,delta_lat_signed_median_baseline,delta_lat_signed_cliffs_delta,delta_lat_signed_pvalue,delta_lat_poleward_median_transition,delta_lat_poleward_median_baseline,delta_lat_poleward_cliffs_delta,delta_lat_poleward_pvalue,distance_km_median_transition,distance_km_median_baseline,distance_km_cliffs_delta,distance_km_pvalue,age_from,age_to
94.0,98.0,472,73083,22.404198,30.30664,-0.1532040596053199,9.076254e-09,4.5276413,3.9895556,0.2599944989409533,1.8082194e-22,4.5276413,3.9158323,0.26999392610723305,4.1892553e-24,523.1323,474.37936,0.7368652938602198,0.0,6.0,0.0
94.0,99.0,14945,73083,-1558.1166,30.30664,-0.9338791144339172,0.0,-0.5234715,3.9895556,-0.5940018499935409,0.0,1.4213974,3.9158323,-0.6105208280559773,0.0,387.96725,474.37936,-0.44025398291516626,0.0,6.0,0.0
94.0,105.0,5861,73083,30.306671,30.30664,0.0027129744055358618,0.7292273,4.0964346,3.9895556,-0.10369919850228693,5.86982e-40,-4.136182,3.9158323,-0.8665994685621576,0.0,480.61798,474.37936,0.09059769027165254,6.6695067e-31,6.0,0.0
94.0,106.0,300,73083,-1491.7191,30.30664,-0.8385941098933176,0.0,-4.38673,3.9895556,-0.4655423285853071,3.6e-44,-4.38673,3.9158323,-0.4563096296904433,1.732e-42,583.0471,474.37936,0.8905286227075151,0.0,6.0,0.0
98.0,20.0,8,31913,723.9034,30.306671,0.7925375238930843,0.000103391496,3.5673656,1.856065,0.44902547551154703,0.027846837,-3.5673656,1.856065,-0.8253376366997776,5.2833984e-05,468.503,580.71704,-1.0,9.668429e-07,6.0,0.0
98.0,99.0,832,31913,-367.9889,30.306671,-0.8879339020269049,0.0,2.849009,1.856065,-0.07967130889509699,8.515024e-05,2.8260112,1.856065,-0.09350798083250378,3.9909496e-06,528.88586,580.71704,-0.5610136121281657,0.0,6.0,0.0
98.0,105.0,18889,31913,29.383545,30.306671,-0.1541671881941018,0.0,2.8133397,1.856065,0.01005730451747322,0.05776224,1.0849336,1.856065,-0.07788428548918791,0.0,568.4074,580.71704,-0.5113623947998132,0.0,6.0,0.0
98.0,106.0,2626,31913,-326.09787,30.306671,-0.8668846296202912,0.0,3.7199302,1.856065,0.4769314632038566,0.0,3.7199302,1.856065,0.4769314632038566,0.0,580.5134,580.71704,-0.044412444734731826,0.00015120352,6.0,0.0
99.0,20.0,15007,3021913,1266.9613,-8.55957,0.8902326943172778,0.0,1.2523762,0.87326765,-0.04015426308153636,1.9139029e-17,0.99397403,-0.55293894,0.1202223019356774,0.0,363.0561,484.1412,-0.3758421693948282,0.0,6.0,0.0
99.0,21.0,37403,3021913,313.25995,-8.55957,0.7681383033692073,0.0,2.7981637,0.87326765,0.2542238646928412,0.0,1.7879052,-0.55293894,0.3105754216016128,0.0,428.00082,484.1412,-0.24400286276968675,0.0,6.0,0.0
99.0,56.0,376,3021913,400.93988,-8.55957,0.8087751301203026,0.0,3.448454,0.87326765,0.5249680496877873,0.0,-3.4414005,-0.55293894,-0.5815296504691889,0.0,398.7041,484.1412,-0.23634281690143422,2.0672165e-15,6.0,0.0
99.0,94.0,22518,3021913,449.61224,-8.55957,0.7895041235440987,0.0,1.5607817,0.87326765,-0.09041799218635649,0.0,2.1900215,-0.55293894,0.20874639577942178,0.0,444.4293,484.1412,-0.17721929904129197,0.0,6.0,0.0
99.0,98.0,3990,3021913,384.82056,-8.55957,0.7927434104802111,0.0,-4.256624,0.87326765,-0.5730267741478208,0.0,-4.256624,-0.55293894,-0.45060802366300046,0.0,572.18945,484.1412,0.4095650095873187,0.0,6.0,0.0
99.0,105.0,15696,3021913,240.67798,-8.55957,0.7378769267748604,0.0,-1.4230312,0.87326765,-0.346691153208902,0.0,-0.2634473,-0.55293894,-0.013482358386896154,0.0035221595,494.83838,484.1412,0.1295120248909587,0.0,6.0,0.0
99.0,106.0,24708,3021913,85.36489,-8.55957,0.321086870598996,0.0,-1.5002506,0.87326765,-0.08894713185009295,0.0,-1.5002506,-0.55293894,0.03378669613898899,5.1285944e-20,567.78107,484.1412,0.4378849978582384,0.0,6.0,0.0
105.0,20.0,10515,382504,27.683838,30.30664,-0.13199419996306538,0.0,-2.329615,-0.50245774,-0.21978589660091907,0.0,-2.353468,-0.16786253,-0.2970277297017181,0.0,439.52173,480.6407,-0.429974836385837,0.0,6.0,0.0
105.0,21.0,3437,382504,-137.4371,30.30664,-0.2901640158331653,0.0,-1.1906223,-0.50245774,-0.1719401052121633,0.0,-1.1505499,-0.16786253,-0.19291755180132986,0.0,369.76797,480.6407,-0.8830305750726172,0.0,6.0,0.0
105.0,56.0,227,382504,30.049118,30.30664,0.023610129993400397,0.53734434,3.6811602,-0.50245774,0.776468365053981,0.0,3.6811602,-0.16786253,0.7095453368211013,0.0,563.2661,480.6407,0.646458357269432,0.0,6.0,0.0
105.0,94.0,173,382504,22.793396,30.30664,0.05756418702002475,0.18918385,-4.24415,-0.50245774,-0.7381574097256787,0.0,4.2107105,-0.16786253,0.34570055196974625,3.439952e-15,480.80536,480.6407,0.08927068230288793,0.042026084,6.0,0.0
105.0,98.0,29385,382504,34.401062,30.30664,0.17522678204668818,0.0,-3.605823,-0.50245774,-0.3778228924051755,0.0,-3.605823,-0.16786253,-0.41407037712477224,0.0,559.76605,480.6407,0.6829118874653044,0.0,6.0,0.0
105.0,99.0,7153,382504,-556.9392,30.30664,-0.8858913188314737,0.0,-4.4643307,-0.50245774,-0.37975436293676956,0.0,-4.4643307,-0.16786253,-0.4520544103051829,0.0,524.98303,480.6407,0.3759388220083806,0.0,6.0,0.0
105.0,106.0,1537,382504,-490.08655,30.30664,-0.8730956088946662,0.0,-4.446174,-0.50245774,-0.7265221279752292,0.0,-4.446174,-0.16786253,-0.7504676287735097,0.0,578.49,480.6407,0.7457938618382085,0.0,6.0,0.0
106.0,98.0,5600,88061,239.07542,13.998535,0.5218752261013875,0.0,2.1143723,4.234247,-0.47244300420001073,0.0,2.1143723,4.234247,-0.47244300420001073,0.0,582.432,576.96246,0.3906668186176141,0.0,6.0,0.0
106.0,99.0,12661,88061,64.97106,13.998535,0.19371019231441,0.0,3.198975,4.234247,-0.48256104283450696,0.0,1.735082,4.234247,-0.6553521683964643,0.0,527.0735,576.96246,-0.5282359996378676,0.0,6.0,0.0
106.0,105.0,2392,88061,311.13733,13.998535,0.6061349319692844,0.0,1.7350814,4.234247,-0.5853855618249421,0.0,-2.5796254,4.234247,-0.7205749822475975,0.0,527.4548,576.96246,-0.46712677009882064,0.0,6.0,0.0
20.0,21.0,84102,149840,11.790283,26.862732,-0.3023714971998447,0.0,1.041501,1.5666072,0.12266725673270695,0.0,0.63804126,-1.8457243,0.3627052264784163,0.0,316.2799,260.62134,0.4078551104515844,0.0,11.0,6.0
