source_code,20,21,56,94,98,99,105,106,off_grid,unmapped_plate
20,474262,8254,24636,32989,1013,193924,25077,2977,0,0
21,18027,16391,0,6625,0,4355,0,0,0,0
56,15226,0,15777,555,237,13307,19235,1940,0,1
94,59068,15478,2181,40719,3166,48883,4442,1708,66,0
98,0,0,0,0,13297,2712,10736,3970,3,0
99,333532,18794,7604,127393,16517,3113834,53466,34374,980,135
105,23895,0,11,10934,11456,25016,131222,5924,1243,0
106,185,0,0,380,8274,9730,12994,68207,838,1
