source_code,94,98,99,105,106,off_grid,unmapped_plate
94,751588,7066,102142,65898,2713,0,12
98,9693,35033,5737,26280,10575,152,0
99,287348,13402,2683588,54649,193619,213,48
105,69916,19469,21694,334238,6600,1106,0
106,6012,20977,57819,22954,285926,1702,7
