source_code,20,21,56,94,98,99,105,106,off_grid,unmapped_plate
20,745507,21054,9511,32653,78,50146,9200,0,154,8
21,8244,6781,0,976,0,220,0,0,0,0
56,4420,0,2758,0,0,21,774,0,0,0
94,29202,8982,0,72075,169,14309,1948,247,151,0
98,132,0,0,231,46067,990,26299,3418,0,1
99,51290,1421,2509,18572,485,3294791,14714,18585,0,125
105,23054,0,1886,10341,11498,12100,405197,747,78,0
106,0,0,0,17,4206,13467,1493,114874,0,0
