source_code,20,21,56,94,98,99,106,105,subducted
20,57606,46345,15958,4029,0,15240,0,11440,6618
21,57191,201521,10482,32815,1417,37478,1194,27618,19077
56,12619,5234,12448,272,0,4897,0,4409,1530
94,18034,34745,3568,41503,3101,42060,2016,13763,10427
98,0,506,0,929,16321,1929,4303,15046,4638
99,117022,184957,23107,48509,3330,2746541,19318,101150,708309
106,1213,233,0,478,9912,49918,66178,20788,44829
105,4579,5036,10103,787,2922,8421,1292,95835,17972
new_crust,12716,19046,3372,5292,4419,725413,16526,31726,0
