source_code,94,98,99,105,106,off_grid,unmapped_plate
94,883048,1203,154605,83005,1257,0,0
98,2920,4683,2818,28486,3575,0,0
99,417052,3541,2845190,36957,164090,105,84
105,33551,16335,23187,273438,3850,1462,0
106,21030,2528,8386,78193,3597,0,0
