source_code,94,98,99,105,106,off_grid,unmapped_plate
94,765056,4754,160234,118171,3673,0,0
98,6,32122,1726,15676,11324,0,0
99,385708,12026,3144302,32079,22336,281,198
105,481,41676,20229,211591,7873,1569,0
106,0,27104,8797,9501,59683,0,0
