source_code,20,21,56,94,98,99,105,106,off_grid,unmapped_plate
20,516595,59697,17205,71027,782,93448,51304,0,5,0
21,20556,6964,0,41473,0,3611,633,0,0,0
56,9761,0,3940,695,870,7101,1599,0,0,0
94,49075,13262,59,152601,837,41182,8362,0,1518,0
99,136394,5362,1947,111450,191,3223034,38631,4105,2418,83
105,73100,79,11984,817,11299,25973,274108,2772,267,0
