source_code,20,21,56,94,98,99,105,106,off_grid,unmapped_plate
20,735933,6085,6622,55748,960,31747,23406,44,0,0
21,4050,3082,0,10846,0,85,0,0,0,0
56,2043,0,1396,0,0,10,600,0,0,0
94,54003,4186,42,38200,1749,12763,5536,58,0,0
98,353,0,0,574,54559,1370,9940,5751,0,0
99,119587,3047,2844,21383,2102,3225935,22953,8546,403,4
105,27037,0,251,6021,16282,11508,413651,837,546,0
106,32,0,0,537,3198,23509,936,114906,380,0
