source_code,20,21,56,94,98,99,105,106,off_grid,unmapped_plate
20,698937,21004,21060,64287,7912,94299,101138,1965,0,1
21,45522,15025,2442,16483,0,4839,0,0,0,0
56,16263,0,8919,0,0,2346,3899,0,0,0
94,34731,12358,25,66450,1995,21755,2020,1166,0,0
98,0,0,0,0,481,523,79,558,0,0
99,78459,4009,1240,38576,10495,3095198,85122,92642,3063,56
105,36557,0,4768,1269,4064,39940,325492,2318,0,6
106,0,0,0,0,242,2759,270,3149,0,0
