source_code,20,21,56,94,99,105,off_grid,unmapped_plate
20,681358,27870,15979,31641,61522,5391,0,0
21,20932,4873,0,17088,1589,0,0,0
56,37630,0,14327,285,4008,5615,0,0
94,41431,17523,469,154575,41170,1688,96,0
98,1475,0,1671,0,634,3897,0,0
99,212553,6114,13663,67452,3333534,18693,0,30
105,54134,0,19444,1895,9346,153821,1280,0
106,2,0,172,0,10340,966,0,0
