source_code,19,20,21,55,94,98,99,105,56,off_grid,unmapped_plate
19,0,0,0,0,0,1,1,0,0,0,0
20,1,706647,11803,73,39468,1988,37281,30621,3561,36,10
21,0,14631,2842,4,18637,0,3176,186,0,0,0
55,0,453,0,10,39,3,57,50,7,0,0
94,0,19529,3316,12,76206,909,16595,8766,27,464,0
98,0,36,0,0,0,149132,16436,24781,21,844,0
99,1,89677,414,318,38694,37667,3219730,27939,666,500,82
105,0,14284,0,41,295,37362,8068,423064,219,1104,0
56,0,6932,0,0,14,0,35,217,2193,0,0
