source_code,94,98,99,106,105,subducted
94,719259,4234,148397,3394,106871,69733
98,5,28710,1607,10024,13163,7345
99,146842,6048,2328144,16565,20557,1078295
106,0,22277,7103,50347,8332,17026
105,428,31753,16988,6003,177211,49467
new_crust,35627,19112,1097068,18738,53369,0
