source_code,20,21,56,94,98,99,106,105,subducted
20,75702,59680,12447,11105,0,95562,20,781,4190
21,38577,202203,4126,45636,560,167440,7,3560,9216
56,7708,10991,10918,1092,0,28523,2,3810,2494
94,4476,32675,1345,50767,588,63053,312,908,7757
98,319,5450,0,6300,19115,5738,21750,1274,5358
99,10524,38049,3936,32014,856,2803916,11015,14180,635474
106,30,1157,0,1077,3808,24484,129229,255,32531
105,13502,26774,7215,15226,14326,106740,12353,108995,23898
new_crust,6399,11897,1423,6004,4419,660608,20046,13199,0
