source_code,20,21,56,94,98,99,106,105,subducted
20,169019,62728,37051,4893,2338,35230,192,29945,8856
21,48914,304106,4645,24707,6735,80829,1411,6657,9347
56,4442,2728,13405,828,287,8997,0,25434,2675
94,2450,37886,289,73815,6551,37674,5246,4497,5490
98,46,576,0,799,10942,3967,13442,11210,4808
99,21933,39871,6799,39107,8149,2581629,91716,28794,737688
106,0,808,0,738,4970,23959,52366,1719,21396
105,6499,10498,1258,7668,19523,41485,6049,202747,20094
new_crust,6184,12124,2091,9330,5865,737461,23544,18381,0
