source_code,94,98,99,105,106,off_grid,unmapped_plate
94,870883,5010,100481,35447,6551,0,0
98,2834,26912,3266,14935,15732,140,0
99,367534,10683,3213483,19781,22473,201,45
105,32963,23140,22923,221279,10102,1061,0
106,192,5441,5697,1901,56861,225,0
