source_code,94,98,99,105,106,off_grid,unmapped_plate
94,734261,8431,78572,78901,1996,0,0
98,2179,40018,5043,58434,6460,0,0
99,550690,18721,2843334,63766,122556,181,59
105,16969,14512,6165,338088,2187,1582,0
106,753,10521,33199,8488,52110,0,0
