source_code,94,98,99,105,106,off_grid,unmapped_plate
94,815923,2,152445,33362,0,0,0
98,508,3339,1824,18313,1255,0,0
99,329309,11803,2794638,130857,51366,66,35
105,27229,8541,20984,341577,509,1530,0
106,1308,7426,176755,35452,131675,145,0
