source_code,94,98,99,105,106,off_grid,unmapped_plate
94,815491,599,106843,18774,3045,0,0
98,2021,12820,1545,4849,6584,622,0
99,340219,10519,3161850,73592,28938,0,43
105,76000,43618,31132,269066,20969,929,0
106,217,1709,49571,648,15963,0,0
