source_code,20,21,56,94,99,105,subducted
20,656480,27301,14785,30012,58580,4656,31947
21,20561,4782,0,16890,1548,0,701
56,35146,0,13517,264,3689,5225,4024
94,40093,17301,441,151360,38977,1212,7472
98,1290,0,1453,0,519,3162,1253
99,67830,1874,3099,30956,2780563,6549,761138
106,2,0,148,0,8107,687,2536
105,49385,0,17361,1562,8527,134213,27592
new_crust,36279,1021,3601,8947,766335,21886,0
