source,destination,pixels,fraction
20,20,75702.0,0.01300924164483337
20,21,59680.0,0.010255892068421648
20,56,12447.0,0.0021389927710396156
20,94,11105.0,0.0019083726779460857
20,99,95562.0,0.016422144065725695
20,106,20.0,3.4369611489348685e-06
20,105,781.0,0.00013421333286590663
20,subducted,4190.0,0.000720043360701855
21,20,38577.0,0.006629382512123022
21,21,202203.0,0.03474819275990386
21,56,4126.0,0.0007090450850252634
21,94,45636.0,0.007842457949639583
21,98,560.0,9.623491217017632e-05
21,99,167440.0,0.02877423873888272
21,106,7.0,1.202936402127204e-06
21,105,3560.0,0.0006117790845104066
21,subducted,9216.0,0.0015837516974291875
56,20,7708.0,0.0013246048267994983
56,21,10991.0,0.001888781999397157
56,56,10918.0,0.0018762370912035447
56,94,1092.0,0.00018765807873184382
56,99,28523.0,0.0049016221425534625
56,106,2.0,3.4369611489348685e-07
56,105,3810.0,0.0006547410988720925
56,subducted,2494.0,0.0004285890552721781
94,20,4476.0,0.0007691919051316235
94,21,32675.0,0.005615135277072342
94,56,1345.0,0.00023113563726586992
94,94,50767.0,0.008724210332398823
94,98,588.0,0.00010104665777868514
94,99,63053.0,0.010835535566189514
94,106,312.0,5.361659392338395e-05
94,105,908.0,0.00015603803616164304
94,subducted,7757.0,0.0013330253816143888
98,20,319.0,5.481953032551115e-05
98,21,5450.0,0.0009365719130847517
98,94,6300.0,0.0010826427619144835
98,98,19115.0,0.0032848756180945005
98,99,5738.0,0.0009860641536294137
98,106,21750.0,0.0037376952494666696
98,105,1274.0,0.00021893442518715111
98,subducted,5358.0,0.0009207618917996512
99,20,10524.0,0.0018085289565695278
99,21,38049.0,0.006538646737791141
99,56,3936.0,0.0006763939541103821
99,94,32014.0,0.005501543711100044
99,98,856.0,0.00014710193717441236
99,99,2803916.0,0.48184751784384305
99,106,11015.0,0.0018929063527758788
99,105,14180.0,0.0024368054545948216
99,subducted,635474.0,0.10920497245791183
106,20,30.0,5.155441723402303e-06
106,21,1157.0,0.00019882820246588216
106,94,1077.0,0.00018508035787014268
106,98,3808.0,0.0006543974027571989
106,99,24484.0,0.004207527838526066
106,106,129229.0,0.022207752615785205
106,105,255.0,4.382125464891957e-05
106,subducted,32531.0,0.005590389156800011
105,20,13502.0,0.0023202924716459296
105,21,26774.0,0.004601059890079109
105,56,7215.0,0.0012398837344782538
105,94,15226.0,0.0026165585226841153
105,98,14326.0,0.0024618952709820462
105,99,106740.0,0.018343061651865392
105,106,12353.0,0.0021228390536396215
105,105,108995.0,0.0187305790214078
105,subducted,23898.0,0.004106824876862275
new_crust,20,6399.0,0.0010996557196017113
new_crust,21,11897.0,0.0020444763394439065
new_crust,56,1423.0,0.0002445397857467159
new_crust,94,6004.0,0.0010317757369102476
new_crust,98,4419.0,0.0007593965658571592
new_crust,99,660608.0,0.11352420153377828
new_crust,106,20046.0,0.0034448661595774185
new_crust,105,13199.0,0.0022682225102395666
