source,destination,pixels,fraction
20,20,116317.0,0.01781885029297997
20,21,56225.0,0.008613228141396347
20,56,13217.0,0.0020247405308107696
20,94,9635.0,0.001476006280877791
20,99,36382.0,0.005573436482708437
20,105,41300.0,0.0063268354333422695
20,subducted,17080.0,0.0026165217724330742
21,20,93341.0,0.014299107655777259
21,21,243507.0,0.03730335873769676
21,56,3837.0,0.0005877982459499828
21,94,29900.0,0.004580445023170311
21,99,72688.0,0.011135230362682394
21,105,7575.0,0.0011604304699168932
21,subducted,24318.0,0.0037253264907510246
56,20,16984.0,0.0026018153268737316
56,21,6484.0,0.000993297843820612
56,56,4262.0,0.0006529049059783233
56,94,24.0,3.6766113898357016e-06
56,99,4175.0,0.0006395771896901689
56,105,14834.0,0.00227245222320095
56,subducted,3202.0,0.0004905212362605798
94,20,10334.0,0.0015830875876067557
94,21,45632.0,0.006990463789207614
94,56,250.0,3.829803531078856e-05
94,94,35181.0,0.005389452721075409
94,99,14775.0,0.002263413886867604
94,105,1099.0,0.0001683581632262265
94,subducted,8679.0,0.0013295545938493355
98,20,1324.0,0.0002028263950059362
98,21,2013.0,0.00030837578032246946
98,94,1406.0,0.00021538815058787483
98,98,4004.0,0.0006133813335375896
98,99,774.0,0.00011857071732220136
98,106,268.0,4.105549385316533e-05
98,105,8599.0,0.0013172992225498831
98,subducted,4482.0,0.0006866071770518172
99,20,40374.0,0.0061849795105511085
99,21,73479.0,0.01125640534640573
99,56,5648.0,0.0008652292137413351
99,94,24824.0,0.0038028417142200606
99,98,1422.0,0.0002178392248477653
99,99,2122759.0,0.3251899965531768
99,106,3340.0,0.0005116617517521351
99,105,44003.0,0.006740913791122515
99,subducted,1274767.0,0.19528428631611197
106,20,208.0,3.186396537857608e-05
106,21,674.0,0.00010325150319788595
106,94,803.0,0.00012301328941825284
106,98,1834.0,0.00028095438703994483
106,99,23761.0,0.0036399984680785874
106,106,13790.0,0.002112519627743097
106,105,1788.0,0.00027390754854275976
106,subducted,11959.0,0.0018320248171268814
105,20,9188.0,0.001407529393742101
105,21,9396.0,0.0014393933591206772
105,56,883.0,0.00013526866071770518
105,94,80.0,1.2255371299452337e-05
105,98,4390.0,0.0006725135000574471
105,99,11208.0,0.0017169775190532725
105,106,30.0,4.595764237294627e-06
105,105,375228.0,0.05748198077438627
105,subducted,85087.0,0.013034659721956264
new_crust,20,8684.0,0.0013303205545555513
new_crust,21,14643.0,0.0022431925242235072
new_crust,56,1875.0,0.0002872352648309142
new_crust,94,5436.0,0.0008327524797977863
new_crust,98,3055.0,0.00046800199149783615
new_crust,99,1295126.0,0.19840312511968136
new_crust,106,4950.0,0.0007583010991536135
new_crust,105,98951.0,0.015158515568151353
